# VP01   2012-04-25_10-33-22
# Elapsed time of measurement: 443 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 27.20, 6.49, -72.99, -4.82, 0.02


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
  5, 0,  1, 1,   27.08,   10.12,  -72.02,   34.45,   41.60,    1.33,    0.07,    4.08
 31, 0,  2, 1,   27.37,    6.70,  -71.68,   26.55,   34.80,    0.77,    0.04,    3.95
 59, 0,  3, 1,   26.82,    4.40,  -71.45,   17.01,   21.80,   -0.21,    0.01,    2.92
 62, 0,  4, 1,   25.62,    3.35,  -71.50,    9.03,   11.40,    0.18,    0.08,    1.69
 57, 0,  5, 1,   26.14,    3.02,  -71.64,    1.25,    5.70,   -1.59,    0.08,    2.17
 48, 0,  6, 1,   26.54,    2.78,  -71.73,    0.63,    0.00,   -1.99,    0.02,    2.51
 43, 0,  7, 1,   25.96,    2.82,  -71.74,   -4.93,  -11.40,   -1.81,    0.06,    3.29
 63, 0,  8, 1,   26.17,    2.03,  -71.71,  -10.20,  -16.80,   -3.71,    0.03,    3.35
 56, 0,  9, 1,   25.50,    1.00,  -71.68,  -20.41,  -31.20,   -2.79,    0.07,    2.90
  1, 0, 10, 1,   26.40,    3.42,  -72.85,  -30.36,  -38.90,   -4.34,    0.03,    5.10
 51, 0, 11, 1,   25.83,   -0.83,  -71.58,  -33.77,  -42.20,   -5.10,    0.11,    2.03
  3, 0,  1, 1,   28.41,    9.79,  -72.16,   36.35,   41.60,   -2.09,    0.06,    6.91
 18, 0,  2, 1,   25.88,    9.82,  -71.81,   28.06,   34.80,    3.99,    0.06,    3.30
 25, 0,  3, 1,   26.02,    7.25,  -72.35,   15.43,   21.80,    0.71,    0.07,    2.04
 24, 0,  4, 1,   25.66,    6.95,  -72.42,    9.47,   11.40,    1.02,    0.03,    2.17
 33, 0,  5, 1,   25.61,    5.04,  -71.97,    2.03,    5.70,    1.11,    0.03,    2.89
 52, 0,  6, 1,   25.16,    1.75,  -71.64,   -0.46,    0.00,    0.23,    0.13,    2.27
 27, 0,  7, 1,   26.77,    4.76,  -72.18,   -7.02,  -11.40,   -3.12,    0.01,    2.89
