# VP10   2012-05-02_11-53-17
# Elapsed time of measurement: 219 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 26.75, 20.42, -68.78, -1.54, 0.14


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 10, 0,  1, 1,   32.14,   20.14,  -68.57,   35.29,   41.60,   -8.36,    0.08,    2.12
 64, 0,  2, 1,   32.66,   19.85,  -68.53,   30.00,   34.80,   -8.43,    0.07,    2.40
 13, 0,  3, 1,   29.64,   20.50,  -68.63,   21.24,   21.80,   -2.85,    0.13,    2.94
 19, 0,  4, 1,   28.25,   18.74,  -68.76,    7.15,   11.40,   -0.68,    0.10,    2.91
 60, 0,  5, 1,   29.26,   19.36,  -68.84,    7.67,    5.70,   -1.61,    0.06,    2.88
 29, 0,  6, 1,   27.91,   18.58,  -68.88,    2.07,    0.00,    0.69,    0.01,    4.42
 37, 0,  7, 1,   29.11,   18.11,  -69.25,   -3.03,  -11.40,   -0.59,    0.20,    1.71
 35, 0,  8, 1,   28.28,   17.45,  -69.25,   -9.29,  -16.80,    1.37,    0.16,    2.04
 47, 0,  9, 1,   27.37,   15.61,  -68.88,  -23.42,  -31.20,    5.23,    0.04,    2.92
 58, 0, 10, 1,   28.08,   15.32,  -69.08,  -27.80,  -38.90,    3.78,    0.09,    2.06
 16, 0, 11, 1,   26.99,   14.02,  -68.72,  -34.20,  -42.20,    5.96,    0.06,    2.97
 65, 0,  1, 1,   34.90,   18.89,  -68.40,   41.44,   41.60,  -13.48,    0.03,    3.17
 54, 0,  2, 1,   33.89,   20.00,  -68.49,   35.74,   34.80,  -10.77,    0.05,    2.94
 40, 0,  3, 1,   31.29,   19.39,  -68.96,   17.88,   21.80,   -5.42,    0.03,    2.91
  7, 0,  4, 1,   29.47,   21.27,  -68.74,   13.63,   11.40,   -0.89,    0.57,    1.82
  3, 0,  5, 1,   27.15,   19.09,  -68.70,    6.83,    5.70,    1.65,    0.07,    1.74
  5, 0,  6, 1,   28.88,   20.11,  -69.03,    5.46,    0.00,    0.04,    0.09,    2.07
 23, 0,  7, 1,   26.49,   18.09,  -68.74,   -7.08,  -11.40,    4.11,    0.12,    1.58
 26, 0,  8, 1,   27.07,   17.05,  -68.91,  -11.16,  -16.80,    3.41,    0.14,    1.93
 18, 0,  9, 1,   26.63,   15.37,  -68.76,  -25.61,  -31.20,    5.25,    0.05,    3.00
 15, 0, 10, 1,   27.26,   14.73,  -68.90,  -30.06,  -38.90,    5.14,    0.04,    2.79
 14, 0, 11, 1,   27.14,   15.01,  -68.89,  -30.02,  -42.20,    5.30,    0.22,    2.99
