# VP06   2012-04-26_11-16-33
# Elapsed time of measurement: 204 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 29.85, 12.53, -64.61, -0.06, 0.01


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 61, 0,  1, 1,   31.38,   12.00,  -64.35,   34.39,   41.60,   -1.26,    0.10,    1.97
  6, 0,  2, 1,   29.94,   12.88,  -64.33,   26.28,   34.80,    2.31,    0.06,    2.15
 36, 0,  3, 1,   30.69,   11.83,  -64.47,   26.86,   21.80,   -0.33,    0.19,    2.42
 60, 0,  4, 1,   29.41,   12.41,  -64.60,    9.91,   11.40,    1.93,    0.03,    2.80
 29, 0,  5, 1,   29.56,   12.06,  -64.66,    4.19,    5.70,    1.36,    0.26,    1.79
 53, 0,  6, 1,   29.88,   11.59,  -64.74,    1.60,    0.00,    0.22,    0.04,    1.57
 27, 0,  7, 1,   29.72,   12.08,  -64.75,    0.01,  -11.40,    0.50,    0.03,    2.21
 18, 0,  8, 1,   29.96,   12.39,  -64.76,   -3.32,  -16.80,   -0.03,    0.08,    1.84
 24, 0,  9, 1,   29.01,   10.97,  -64.84,  -25.53,  -31.20,    0.24,    0.06,    2.20
  5, 0, 10, 1,   28.90,   11.75,  -64.72,  -29.64,  -38.90,   -1.54,    0.07,    2.30
 43, 0, 11, 1,   28.53,   11.35,  -64.73,  -33.27,  -42.20,   -0.82,    0.10,    3.56
 58, 0,  1, 1,   31.89,   10.99,  -64.33,   41.35,   41.60,   -2.93,    0.28,    2.63
 13, 0,  2, 1,   32.18,   12.16,  -64.29,   37.47,   34.80,   -2.20,    0.22,    2.90
 66, 0,  3, 1,   30.04,   12.13,  -64.51,   20.69,   21.80,    1.14,    0.04,    2.37
 11, 0,  4, 1,   30.45,   12.93,  -64.57,   10.88,   11.40,    0.03,    0.11,    5.12
 35, 0,  5, 1,   29.71,   12.48,  -64.57,   11.30,    5.70,    1.54,    0.21,    2.09
 14, 0,  6, 1,   30.07,   12.48,  -64.69,    0.22,    0.00,    0.19,    0.08,    1.92
 34, 0,  7, 1,   28.36,   11.73,  -64.71,   -5.81,  -11.40,    3.31,    0.04,    2.34
 10, 0,  8, 1,   29.09,   12.43,  -64.68,   -9.44,  -16.80,    0.45,    0.18,    1.67
 47, 0,  9, 1,   28.94,   11.56,  -64.79,  -23.57,  -31.20,   -0.06,    0.11,    2.23
  9, 0, 10, 1,   28.93,   11.64,  -64.74,  -28.20,  -38.90,   -1.44,    0.12,    2.06
 28, 0, 11, 1,   29.09,   11.86,  -64.72,  -35.87,  -42.20,   -3.04,    0.16,    1.98
 32, 1,  1, 1,   32.39,   11.84,  -64.27,   40.76,   41.60,   -2.82,    0.27,    2.97
 16, 1,  2, 1,   30.77,   12.82,  -64.36,   30.62,   34.80,    1.03,    0.27,    3.15
 30, 1,  3, 1,   30.91,   12.38,  -64.40,   27.40,   21.80,    0.09,    0.18,    1.88
 41, 1,  4, 1,   30.05,   12.59,  -64.56,   11.07,   11.40,    0.83,    0.29,    2.44
  4, 1,  5, 1,   30.07,   13.36,  -64.46,    1.76,    5.70,   -0.33,    0.31,    1.90
 23, 1,  6, 1,   29.12,   12.09,  -64.72,   -6.26,    0.00,    1.39,    0.17,    3.07
 51, 1,  7, 1,   29.24,   11.52,  -64.74,  -19.77,  -11.40,   -0.23,    0.19,    1.78
 65, 1,  8, 1,   28.87,   12.11,  -64.74,  -11.78,  -16.80,    0.96,    0.12,    2.31
  3, 1,  9, 1,   28.46,   11.72,  -64.74,  -37.66,  -31.20,   -2.51,    0.30,    1.91
 59, 1, 10, 1,   28.30,   10.80,  -64.69,  -41.40,  -38.90,   -1.45,    0.06,    2.31
 38, 1, 11, 1,   27.46,    9.65,  -64.71,  -42.42,  -42.20,    1.13,    0.19,    2.15
 42, 1,  1, 1,   31.53,   11.26,  -64.34,   39.53,   41.60,   -1.97,    0.13,    2.30
 25, 1,  2, 1,   30.71,   11.75,  -64.46,   31.83,   34.80,   -0.03,    0.33,    2.78
 17, 1,  3, 1,   30.09,   12.37,  -64.59,    9.70,   21.80,    0.79,    0.12,    2.78
 64, 1,  4, 1,   29.74,   12.07,  -64.53,    6.81,   11.40,    0.92,    0.11,    2.08
 50, 1,  5, 1,   29.90,   11.74,  -64.77,   -0.64,    5.70,    0.01,    0.10,    2.24
 26, 1,  6, 1,   29.31,   11.95,  -64.78,  -12.08,    0.00,    0.69,    0.12,    2.31
 54, 1,  7, 1,   29.74,   11.90,  -64.79,  -15.62,  -11.40,   -0.95,    0.16,    1.74
 15, 1,  8, 1,   28.24,   12.43,  -64.68,  -21.85,  -16.80,    1.03,    0.22,    2.65
 20, 1,  9, 1,   28.50,   10.66,  -64.78,  -40.72,  -31.20,   -1.39,    0.26,    2.41
 62, 1, 10, 1,   28.73,   11.03,  -64.60,  -42.59,  -38.90,   -2.30,    0.08,    2.22
 44, 1, 11, 1,   28.15,   10.44,  -64.65,  -43.70,  -42.20,   -1.23,    0.12,    2.01
 49, 2,  1, 1,   30.87,   11.79,  -64.41,   30.76,   41.60,   -0.44,    0.22,    2.28
 45, 2,  2, 1,   30.09,   11.87,  -64.48,   24.03,   34.80,    0.86,    0.20,    2.79
 52, 2,  3, 1,   29.70,   11.43,  -64.52,   21.11,   21.80,    1.14,    0.25,    2.13
 39, 2,  4, 1,   30.03,   12.46,  -64.64,    2.51,   11.40,    0.12,    0.18,    3.13
 21, 2,  5, 1,   28.90,   11.59,  -64.71,   -5.49,    5.70,    2.07,    0.17,    2.93
 19, 2,  6, 1,   29.47,   12.46,  -64.75,   -8.84,    0.00,    0.45,    0.16,    4.15
 57, 2,  7, 1,   29.38,   11.47,  -64.77,  -16.75,  -11.40,   -0.10,    0.29,    2.02
 22, 2,  8, 1,   28.83,   11.19,  -64.81,  -27.63,  -16.80,    0.08,    0.10,    2.31
 63, 2,  9, 1,   29.05,   12.21,  -64.56,  -28.03,  -31.20,   -1.63,    0.33,    3.00
  7, 2, 10, 1,   28.02,   10.85,  -64.71,  -36.35,  -38.90,   -0.19,    0.15,    2.33
 33, 2, 11, 1,   28.62,   10.68,  -64.86,  -35.59,  -42.20,   -0.42,    0.54,    2.57
  1, 2,  1, 1,   30.46,   12.20,  -64.55,   19.77,   41.60,    0.01,    0.23,    2.62
 31, 2,  2, 1,   31.45,   12.44,  -64.32,   28.30,   34.80,   -1.03,    0.27,    2.98
 56, 2,  3, 1,   29.99,   11.99,  -64.51,   14.04,   21.80,    0.72,    0.31,    2.15
 46, 2,  4, 1,   29.89,   12.07,  -64.70,    0.70,   11.40,    0.15,    0.14,    2.39
  8, 2,  5, 1,   30.31,   12.92,  -64.53,    4.04,    5.70,   -0.76,    0.14,    2.22
  2, 2,  6, 1,   28.97,   12.43,  -64.78,  -12.44,    0.00,    0.62,    0.31,    1.75
 37, 2,  7, 1,   28.80,   11.42,  -64.82,  -18.04,  -11.40,    1.04,    0.34,    2.81
 40, 2,  8, 1,   29.47,   11.84,  -64.78,  -20.30,  -16.80,   -0.89,    0.28,    1.85
 55, 2,  9, 1,   29.23,   10.99,  -64.81,  -34.37,  -31.20,   -2.21,    0.36,    2.64
 12, 2, 10, 1,   28.07,   11.20,  -64.62,  -38.78,  -38.90,   -0.60,    0.46,    2.82
 48, 2, 11, 1,   28.62,   10.62,  -64.72,  -36.69,  -42.20,   -1.00,    0.26,    2.08
