# VP07   2012-04-26_14-15-27
# Elapsed time of measurement: 248 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 27.12, 20.15, -70.54, -6.89, 0.05


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 18, 0,  1, 1,   30.43,   12.21,  -69.63,   40.50,   41.60,   -4.25,    0.05,    4.33
 57, 0,  2, 1,   31.71,    7.82,  -68.35,   43.67,   34.80,  -12.48,    0.04,    4.83
  3, 0,  3, 1,   29.80,   15.43,  -70.42,   15.96,   21.80,    1.88,    0.35,    1.98
 13, 0,  4, 1,   28.13,   15.44,  -70.00,    1.45,   11.40,    3.76,    0.25,    2.83
 37, 0,  5, 1,   28.09,   12.45,  -69.02,   -0.78,    5.70,    0.66,    0.03,    4.06
 44, 0,  6, 1,   22.98,   12.30,  -68.30,  -29.99,    0.00,    6.92,    0.41,    2.75
 47, 0,  7, 1,   25.88,   14.64,  -68.56,   -5.49,  -11.40,    2.19,    0.03,    2.93
 32, 0,  8, 1,   26.96,    9.86,  -69.35,  -27.08,  -16.80,    1.18,    0.11,    2.86
  4, 0,  9, 1,   28.16,   13.49,  -70.77,  -37.66,  -31.20,    0.51,    0.13,    3.59
 33, 0, 10, 1,   25.64,    8.48,  -69.03,  -40.38,  -38.90,    3.75,    0.23,    1.81
 65, 0, 11, 1,   26.27,    9.30,  -68.96,  -37.97,  -42.20,    1.65,    0.05,    2.38
  7, 0,  1, 1,   33.72,   15.56,  -69.97,   37.90,   41.60,   -4.94,    0.83,    6.02
 35, 0,  2, 1,   34.62,   11.18,  -68.19,   44.03,   34.80,  -11.63,    0.20,    3.56
 38, 0,  3, 1,   29.13,   14.08,  -68.36,   29.45,   21.80,    0.22,    0.06,    2.79
 12, 0,  4, 1,   28.76,   16.94,  -69.87,    3.92,   11.40,    2.53,    0.11,    3.67
 22, 0,  5, 1,   25.04,   16.22,  -69.22,    0.03,    5.70,    8.02,    0.10,    3.59
 61, 0,  6, 1,   25.40,   13.61,  -68.56,   -3.78,    0.00,    3.68,    0.02,    2.05
 53, 0,  7, 1,   25.55,   11.46,  -68.83,  -12.05,  -11.40,    4.00,    0.03,    2.24
 63, 0,  8, 1,   24.53,   10.77,  -68.77,  -23.55,  -16.80,    5.40,    0.08,    2.19
 50, 0,  9, 1,   25.05,   11.19,  -68.81,  -32.72,  -31.20,    1.98,    0.04,    2.60
 24, 0, 10, 1,   24.07,    8.71,  -69.64,  -38.32,  -38.90,    8.49,    0.34,    2.03
 11, 0, 11, 1,   26.67,   13.99,  -70.35,  -47.27,  -42.20,    0.72,    0.06,    2.88
 16, 1,  1, 1,   35.78,   13.98,  -69.41,   44.98,   41.60,   -9.78,    0.21,    2.56
 56, 1,  2, 1,   31.87,    9.35,  -68.57,   42.89,   34.80,   -9.86,    0.13,    4.45
 34, 1,  3, 1,   30.84,   12.17,  -68.55,   33.77,   21.80,   -4.88,    0.10,    2.25
 27, 1,  4, 1,   26.27,   15.99,  -67.93,    2.00,   11.40,    2.86,    0.40,    2.93
 29, 1,  5, 1,   29.18,   17.71,  -68.09,   12.72,    5.70,    0.52,    1.66,    3.69
 20, 1,  6, 1,   26.85,   15.25,  -69.73,   -6.47,    0.00,    2.68,    0.15,    4.21
 26, 1,  7, 1,   22.86,   12.67,  -68.49,  -16.55,  -11.40,   10.49,    0.21,    3.49
 14, 1,  8, 1,   28.28,   13.73,  -70.34,  -24.79,  -16.80,    1.64,    0.26,    2.28
 25, 1,  9, 1,   23.20,    8.75,  -68.87,  -28.38,  -31.20,   10.30,    0.34,    2.52
 23, 1, 10, 1,   23.70,    9.84,  -69.62,  -36.01,  -38.90,    7.85,    0.20,    3.37
 41, 1, 11, 1,   22.14,   11.82,  -68.03,  -33.46,  -42.20,    7.85,    0.12,    2.94
 59, 1,  1, 1,   32.12,   11.84,  -68.17,   42.49,   41.60,   -7.94,    0.06,    2.30
  8, 1,  2, 1,   33.89,   12.60,  -70.06,   42.20,   34.80,  -10.14,    0.22,    1.97
 43, 1,  3, 1,   25.65,   14.53,  -68.22,   20.16,   21.80,    7.87,    0.11,    2.17
 45, 1,  4, 1,   32.50,   15.47,  -67.94,   39.13,   11.40,   -2.99,    0.47,    4.36
 36, 1,  5, 1,   29.09,   14.08,  -68.67,   11.66,    5.70,   -0.42,    0.24,    3.22
 66, 1,  6, 1,   26.79,   12.20,  -68.67,    4.88,    0.00,    2.69,    0.20,    4.11
 58, 1,  7, 1,   27.29,   12.32,  -68.89,   -4.18,  -11.40,    0.45,    0.26,    2.68
 52, 1,  8, 1,   24.51,   11.74,  -68.69,  -20.28,  -16.80,    4.87,    0.18,    3.05
  5, 1,  9, 1,   28.53,   12.71,  -70.88,  -30.19,  -31.20,    2.10,    0.18,    1.98
  1, 1, 10, 1,   25.46,   17.96,  -69.99,  -29.91,  -38.90,    0.83,    0.29,    4.23
 17, 1, 11, 1,   25.56,   11.87,  -69.71,  -51.13,  -42.20,    2.70,    0.22,    3.89
 51, 2,  1, 1,   29.45,   14.39,  -68.19,   32.37,   41.60,   -1.16,    0.43,    2.54
 49, 2,  2, 1,   29.77,   13.05,  -68.55,   35.90,   34.80,   -2.94,    0.32,    1.98
  9, 2,  3, 1,   32.66,   18.98,  -69.59,   23.88,   21.80,   -0.17,    0.43,    3.05
 30, 2,  4, 1,   27.34,   15.38,  -68.43,   13.64,   11.40,    3.77,    0.64,    1.97
 48, 2,  5, 1,   29.80,   16.11,  -67.79,   25.36,    5.70,   -0.36,    0.25,    2.12
