# VP09   2012-05-02_11-28-44
# Elapsed time of measurement: 425 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 23.41, 14.92, -77.58, 0.45, 0.07


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 15, 0,  1, 1,   26.86,   16.52,  -76.77,   34.80,   41.60,   -7.34,    0.03,    6.91
 48, 0,  2, 1,   25.32,   18.39,  -76.46,   30.17,   34.80,   -4.07,    0.11,    4.81
  9, 0,  3, 1,   26.15,   15.32,  -77.24,   18.47,   21.80,   -5.83,    0.02,    5.88
 30, 0,  4, 1,   25.78,   15.57,  -77.16,   10.48,   11.40,   -5.24,    0.08,    3.82
 28, 0,  5, 1,   24.96,   15.37,  -77.28,    5.44,    5.70,   -2.78,    0.04,    4.88
 35, 0,  6, 1,   24.49,   15.37,  -77.22,    0.51,    0.00,   -2.59,    0.13,    4.84
  4, 0,  7, 1,   24.19,   14.68,  -77.62,   -6.92,  -11.40,   -1.96,    0.10,    3.81
 58, 0,  8, 1,   24.78,   14.40,  -77.38,  -13.48,  -16.80,   -2.40,    0.08,    3.84
 63, 0,  9, 1,   25.25,   12.78,  -77.45,  -23.31,  -31.20,   -2.82,    0.18,    4.04
 14, 0, 10, 1,   26.29,   11.96,  -77.55,  -33.20,  -38.90,   -4.83,    0.06,    7.95
 46, 0, 11, 1,   25.60,   12.58,  -77.48,  -34.06,  -42.20,   -3.93,    0.04,    3.90
 22, 0,  1, 1,   26.14,   17.54,  -76.60,   34.84,   41.60,   -5.70,    0.05,    3.91
 10, 0,  2, 1,   26.38,   16.50,  -76.92,   28.73,   34.80,   -6.47,    0.04,    5.95
 44, 0,  3, 1,   25.02,   16.82,  -76.86,   19.09,   21.80,   -3.89,    0.03,    3.80
 26, 0,  4, 1,   25.49,   15.80,  -77.18,   10.74,   11.40,   -3.50,    0.05,    3.71
 43, 0,  5, 1,   24.80,   15.41,  -77.24,    3.36,    5.70,   -3.10,    0.03,    3.95
 62, 0,  6, 1,   25.14,   14.07,  -77.24,    1.01,    0.00,   -3.08,    0.04,    3.91
 11, 0,  7, 1,   26.04,   13.49,  -77.72,   -8.30,  -11.40,   -4.73,    0.04,    4.07
 55, 0,  8, 1,   25.24,   13.59,  -77.47,  -15.50,  -16.80,   -3.41,    0.03,    3.68
 51, 0,  9, 1,   25.11,   13.16,  -77.43,  -26.51,  -31.20,   -3.00,    0.18,    3.83
  7, 0, 10, 1,   25.36,   12.46,  -77.54,  -34.25,  -38.90,   -4.30,    0.17,    5.01
 53, 0, 11, 1,   26.00,   13.57,  -77.40,  -32.08,  -42.20,   -5.43,    0.12,    4.73
 25, 1,  1, 1,   26.12,   18.15,  -76.41,   37.91,   41.60,   -5.15,    0.12,    4.69
  8, 1,  2, 1,   27.29,   16.32,  -76.87,   30.62,   34.80,   -7.99,    0.14,    5.97
  2, 1,  3, 1,   25.15,   16.56,  -77.26,   17.10,   21.80,   -3.80,    0.21,    4.07
 20, 1,  4, 1,   25.50,   14.62,  -77.26,    4.10,   11.40,   -3.87,    0.14,    3.87
 21, 1,  5, 1,   25.18,   14.80,  -77.25,    1.83,    5.70,   -3.12,    0.21,    2.91
 60, 1,  6, 1,   25.13,   14.93,  -77.27,   -7.35,    0.00,   -3.52,    0.21,    4.01
 32, 1,  7, 1,   25.35,   13.64,  -77.50,  -20.50,  -11.40,   -3.72,    0.16,    4.04
 23, 1,  8, 1,   26.15,   12.85,  -77.60,  -26.24,  -16.80,   -4.53,    0.14,    3.85
 17, 1,  9, 1,   25.92,   12.19,  -77.48,  -36.85,  -31.20,   -4.43,    0.43,    5.89
 54, 1, 10, 1,   26.10,   12.79,  -76.97,  -47.85,  -38.90,   -6.65,    0.30,    3.93
 33, 1, 11, 1,   26.22,   13.06,  -77.17,  -44.22,  -42.20,   -6.67,    0.31,    4.97
 45, 1,  1, 1,   26.23,   18.41,  -76.39,   37.01,   41.60,   -5.65,    0.10,    4.03
 57, 1,  2, 1,   27.06,   16.83,  -76.75,   28.42,   34.80,   -8.30,    0.25,    2.90
 61, 1,  3, 1,   26.41,   15.66,  -76.78,   17.88,   21.80,   -6.43,    0.42,    9.89
 64, 1,  4, 1,   24.67,   15.85,  -77.07,    7.61,   11.40,   -3.04,    0.12,    3.82
 18, 1,  5, 1,   25.05,   14.71,  -77.27,    0.66,    5.70,   -2.92,    0.15,    4.92
 31, 1,  6, 1,   25.96,   14.10,  -77.34,   -6.47,    0.00,   -4.77,    0.39,    3.89
  3, 1,  7, 1,   24.94,   13.23,  -77.77,  -20.55,  -11.40,   -3.24,    0.16,    3.86
 50, 1,  8, 1,   25.45,   13.22,  -77.42,  -22.82,  -16.80,   -3.32,    0.26,    3.87
 39, 1,  9, 1,   25.84,   13.33,  -77.31,  -38.82,  -31.20,   -5.53,    0.26,    3.99
 38, 1, 10, 1,   26.14,   13.52,  -77.13,  -47.03,  -38.90,   -7.40,    0.22,    5.06
 59, 1, 11, 1,   26.03,   13.06,  -77.08,  -44.86,  -42.20,   -6.90,    0.28,    4.03
  5, 2,  1, 1,   26.63,   17.05,  -77.05,   33.46,   41.60,   -6.96,    0.25,    4.86
 19, 2,  2, 1,   24.81,   17.68,  -76.75,   27.99,   34.80,   -3.07,    0.28,    3.81
 27, 2,  3, 1,   25.83,   16.27,  -77.07,   20.95,   21.80,   -5.51,    0.39,    9.95
 12, 2,  4, 1,   25.22,   14.48,  -77.44,    1.86,   11.40,   -3.44,    0.17,   11.18
 16, 2,  5, 1,   25.51,   14.16,  -77.58,   -8.28,    5.70,   -3.09,    0.27,   13.89
  6, 2,  6, 1,   24.09,   13.83,  -77.56,  -13.35,    0.00,   -1.54,    0.18,    6.15
 49, 2,  7, 1,   25.21,   12.94,  -77.61,  -17.85,  -11.40,   -2.88,    0.27,    7.41
 42, 2,  8, 1,   25.36,   13.69,  -77.40,  -13.94,  -16.80,   -2.86,    0.35,    4.95
 52, 2,  9, 1,   24.96,   13.33,  -77.62,  -34.58,  -31.20,   -4.46,    0.35,    7.97
 40, 2, 10, 1,   27.05,   14.15,  -77.00,  -44.28,  -38.90,   -8.93,    0.55,    6.96
 34, 2, 11, 1,   25.75,   12.80,  -77.11,  -49.46,  -42.20,   -6.72,    0.26,    5.96
 66, 2,  1, 1,   26.43,   16.45,  -76.61,   30.94,   41.60,   -7.83,    0.21,    8.18
 56, 2,  2, 1,   26.83,   16.79,  -76.79,   30.23,   34.80,   -8.27,    0.30,    4.91
 65, 2,  3, 1,   25.51,   16.98,  -76.47,   21.54,   21.80,   -5.12,    0.39,    7.87
 41, 2,  4, 1,   25.74,   15.12,  -77.09,    4.83,   11.40,   -4.42,    0.35,    9.87
 13, 2,  5, 1,   25.32,   14.90,  -77.59,   -0.44,    5.70,   -3.53,    0.16,   10.94
  1, 2,  6, 1,   24.60,   14.94,  -77.74,  -19.16,    0.00,   -3.45,    0.15,    4.76
 47, 2,  7, 1,   25.59,   13.17,  -77.41,  -21.22,  -11.40,   -3.08,    0.37,   10.92
 29, 2,  8, 1,   24.40,   13.23,  -77.44,  -24.25,  -16.80,   -2.00,    0.70,    6.93
 36, 2,  9, 1,   25.15,   13.84,  -77.21,  -38.17,  -31.20,   -5.13,    0.23,    7.93
 24, 2, 10, 1,   26.82,   13.48,  -77.17,  -39.05,  -38.90,   -7.32,    0.32,    6.00
 37, 2, 11, 1,   25.96,   14.03,  -77.12,  -45.96,  -42.20,   -7.79,    0.39,    6.94
