# VP04   2012-04-25_15-28-27
# Elapsed time of measurement: 406 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 29.01, 12.28, -66.43, -1.57, 0.03


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 20, 0,  1, 1,   32.59,   13.54,  -66.10,   36.57,   41.60,   -4.65,    0.05,    3.71
 61, 0,  2, 1,   32.48,   13.92,  -66.16,   31.91,   34.80,   -3.06,    0.07,    1.70
 57, 0,  3, 1,   31.05,   13.41,  -66.32,   19.72,   21.80,   -1.04,    0.04,    3.41
 16, 0,  4, 1,   30.33,   12.54,  -66.50,    9.67,   11.40,   -1.22,    0.04,    3.28
 59, 0,  5, 1,   30.04,   13.02,  -66.48,    5.66,    5.70,    0.55,    0.08,    3.44
 11, 0,  6, 1,   29.54,   13.02,  -66.51,    2.17,    0.00,    1.07,    0.06,    3.50
 40, 0,  7, 1,   30.16,   12.01,  -66.73,   -8.05,  -11.40,   -1.34,    0.09,    4.18
 65, 0,  8, 1,   28.94,   11.04,  -66.57,  -10.74,  -16.80,    2.47,    0.11,    2.50
 17, 0,  9, 1,   28.74,   10.50,  -66.55,  -21.06,  -31.20,    1.46,    0.08,    3.12
 13, 0, 10, 1,   28.70,   10.21,  -66.47,  -28.83,  -38.90,    0.57,    0.11,    4.31
 23, 0, 11, 1,   28.55,    9.46,  -66.44,  -28.45,  -42.20,    2.16,    0.03,    3.43
 31, 0,  1, 1,   32.96,   13.18,  -66.20,   34.89,   41.60,   -5.74,    0.17,    4.75
 60, 0,  2, 1,   32.24,   13.93,  -66.13,   31.53,   34.80,   -2.58,    0.06,    4.25
 36, 0,  3, 1,   31.36,   13.34,  -66.35,   20.61,   21.80,   -2.30,    0.04,    3.01
 55, 0,  4, 1,   30.12,   12.53,  -66.44,   12.35,   11.40,    0.68,    0.14,    2.91
 56, 0,  5, 1,   29.69,   12.67,  -66.43,    7.67,    5.70,    1.64,    0.04,    2.88
 24, 0,  6, 1,   29.56,   11.65,  -66.63,   -1.97,    0.00,    0.35,    0.04,    3.55
 37, 0,  7, 1,   29.12,   12.76,  -66.48,   -3.78,  -11.40,    1.89,    0.03,    3.40
 44, 0,  8, 1,   29.58,   11.32,  -66.70,  -10.65,  -16.80,    0.25,    0.05,    3.83
 28, 0,  9, 1,   29.04,    9.90,  -66.62,  -22.32,  -31.20,    1.60,    0.08,    3.33
 42, 0, 10, 1,   29.48,    9.77,  -66.63,  -26.81,  -38.90,    0.30,    0.08,    3.60
 43, 0, 11, 1,   29.21,    9.53,  -66.51,  -31.18,  -42.20,    0.73,    0.06,    2.93
 25, 1,  1, 1,   33.36,   13.02,  -66.07,   42.97,   41.60,   -7.03,    0.20,    3.90
  7, 1,  2, 1,   32.25,   14.13,  -66.17,   34.88,   34.80,   -3.34,    0.06,    4.30
 66, 1,  3, 1,   30.83,   12.83,  -66.52,   16.09,   21.80,   -0.96,    0.18,    4.87
  4, 1,  4, 1,   30.45,   12.80,  -66.46,   10.57,   11.40,   -1.22,    0.11,    4.25
 12, 1,  5, 1,   29.02,   13.10,  -66.47,   -0.95,    5.70,    1.64,    0.21,    3.74
 35, 1,  6, 1,   29.98,   12.59,  -66.59,    1.16,    0.00,   -0.05,    0.24,    3.45
 22, 1,  7, 1,   28.64,   10.56,  -66.62,  -11.70,  -11.40,    2.79,    0.11,    3.26
  2, 1,  8, 1,   28.72,   10.68,  -66.56,  -15.39,  -16.80,    0.59,    0.25,   10.73
  3, 1,  9, 1,   28.63,    9.95,  -66.32,  -30.35,  -31.20,    0.52,    0.18,    3.69
 14, 1, 10, 1,   28.77,    8.81,  -66.15,  -42.93,  -38.90,   -0.14,    0.21,    3.86
 39, 1, 11, 1,   29.45,    9.75,  -66.26,  -43.87,  -42.20,   -1.80,    0.11,    4.13
 38, 1,  1, 1,   34.05,   13.05,  -66.06,   43.90,   41.60,   -7.73,    0.17,    4.06
 10, 1,  2, 1,   33.26,   13.04,  -66.19,   36.01,   34.80,   -6.62,    0.21,    4.74
 32, 1,  3, 1,   31.71,   13.56,  -66.14,   27.06,   21.80,   -2.57,    0.13,    2.73
 49, 1,  4, 1,   30.50,   12.74,  -66.42,   10.89,   11.40,   -0.56,    0.31,    2.76
 46, 1,  5, 1,   31.11,   12.32,  -66.58,   10.74,    5.70,   -2.60,    0.12,    3.02
 15, 1,  6, 1,   29.65,   12.21,  -66.62,   -0.13,    0.00,   -0.12,    0.24,    3.77
 58, 1,  7, 1,   29.30,   11.30,  -66.46,  -14.89,  -11.40,    1.59,    0.25,    3.65
  1, 1,  8, 1,   28.26,   10.64,  -66.56,  -12.78,  -16.80,    1.64,    0.24,    4.10
  5, 1,  9, 1,   28.00,    9.85,  -66.35,  -33.95,  -31.20,    1.09,    0.32,    3.90
 62, 1, 10, 1,   29.02,    8.17,  -66.09,  -42.21,  -38.90,    1.32,    0.11,    5.09
 63, 1, 11, 1,   28.46,    7.51,  -66.02,  -45.95,  -42.20,    2.57,    0.20,    2.59
 27, 2,  1, 1,   33.73,   12.73,  -65.90,   42.44,   41.60,   -7.47,    0.43,    3.69
 50, 2,  2, 1,   33.33,   12.82,  -66.22,   34.72,   34.80,   -6.04,    0.23,    3.35
 54, 2,  3, 1,   31.20,   12.98,  -66.39,   21.30,   21.80,   -1.84,    0.11,    4.24
  9, 2,  4, 1,   30.23,   13.18,  -66.50,   10.63,   11.40,   -0.45,    0.12,    3.42
 64, 2,  5, 1,   29.58,   11.70,  -66.61,   -0.99,    5.70,    1.11,    0.22,    4.66
 52, 2,  6, 1,   29.64,   11.65,  -66.82,   -1.33,    0.00,    0.93,    0.22,    3.40
 45, 2,  7, 1,   29.03,   10.79,  -66.77,  -15.65,  -11.40,    1.26,    0.22,    2.90
 51, 2,  8, 1,   28.96,   10.52,  -66.64,  -18.62,  -16.80,    2.48,    0.29,    3.73
 29, 2,  9, 1,   28.74,    9.35,  -66.35,  -31.96,  -31.20,    1.66,    0.28,    3.79
 18, 2, 10, 1,   28.70,    8.14,  -66.43,  -41.46,  -38.90,    1.45,    0.15,    3.49
 53, 2, 11, 1,   29.11,    8.88,  -66.32,  -43.78,  -42.20,   -0.21,    0.22,    4.39
  8, 2,  1, 1,   33.70,   12.85,  -65.99,   43.19,   41.60,   -7.95,    0.12,    3.39
 47, 2,  2, 1,   33.10,   12.31,  -66.41,   35.68,   34.80,   -6.28,    0.25,    4.59
 41, 2,  3, 1,   31.04,   12.79,  -66.36,   19.44,   21.80,   -2.16,    0.39,    3.64
 48, 2,  4, 1,   30.01,   12.71,  -66.52,    7.37,   11.40,    0.51,    0.33,    3.90
 21, 2,  5, 1,   29.37,   12.66,  -66.55,    4.07,    5.70,    1.77,    0.41,    2.99
 33, 2,  6, 1,   29.13,   12.45,  -66.43,   -0.32,    0.00,    2.25,    0.26,    4.59
 34, 2,  7, 1,   29.04,   11.51,  -66.43,  -14.54,  -11.40,    1.52,    0.24,    5.70
 26, 2,  8, 1,   28.50,   10.88,  -66.51,  -17.77,  -16.80,    2.54,    0.16,    3.31
