# VP01   2012-04-25_10-15-21
# Elapsed time of measurement: 763 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 26.04, 3.12, -68.13, -0.24, 0.03


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 58, 0,  1, 1,   28.13,    6.21,  -67.63,   36.69,   41.60,    0.26,    0.03,    3.10
 81, 0,  2, 1,   27.21,    5.72,  -67.68,   31.29,   34.80,    1.95,    0.05,    4.07
  4, 0,  3, 1,   27.76,    4.59,  -67.95,   22.80,   21.80,   -0.31,    0.09,    4.23
 17, 0,  4, 1,   27.38,    6.62,  -67.93,   12.68,   11.40,    0.98,    0.02,    4.78
 72, 0,  5, 1,   26.96,    4.97,  -68.17,    6.55,    5.70,    1.02,    0.07,    3.24
  3, 0,  6, 1,   27.24,    3.31,  -68.15,    6.01,    0.00,   -0.13,    0.04,    6.21
  1, 0,  7, 1,   26.40,    2.91,  -68.14,   -3.52,  -11.40,    1.24,    0.06,    4.30
 10, 0,  8, 1,   25.86,    4.17,  -68.03,   -9.30,  -16.80,    1.92,    0.03,    3.48
 44, 0,  9, 1,   27.02,    2.37,  -68.29,  -22.81,  -31.20,   -0.77,    0.03,    3.33
 90, 0, 10, 1,   27.11,   -0.54,  -67.98,  -28.21,  -38.90,    1.87,    0.03,    2.65
 26, 0, 11, 1,   27.47,    3.42,  -68.05,  -32.68,  -42.20,   -4.17,    0.03,    3.90
 31, 0,  1, 1,   28.04,    8.15,  -67.39,   37.31,   41.60,    2.78,    0.05,    5.05
 83, 0,  2, 1,   28.26,    5.50,  -67.77,   32.92,   34.80,   -0.36,    0.01,    3.48
 32, 0,  3, 1,   27.25,    7.45,  -67.79,   19.73,   21.80,    2.98,    0.09,    2.92
 59, 0,  4, 1,   26.97,    4.87,  -68.16,    8.91,   11.40,    2.14,    0.03,    2.86
 53, 0,  5, 1,   27.30,    4.92,  -68.17,    2.98,    5.70,    1.01,    0.03,    3.68
 37, 0,  6, 1,   26.56,    4.34,  -68.12,    1.66,    0.00,    2.21,    0.04,    4.18
 97, 0,  7, 1,   27.68,    2.28,  -68.23,   -1.83,  -11.40,    0.88,    0.05,    3.02
 69, 0,  8, 1,   26.97,    3.15,  -68.24,  -10.15,  -16.80,    1.56,    0.10,    3.30
 82, 0,  9, 1,   27.46,    2.28,  -68.32,  -18.83,  -31.20,   -0.31,    0.24,    2.84
 55, 0, 10, 1,   27.22,    1.38,  -68.14,  -28.32,  -38.90,   -0.18,    0.05,    3.04
 19, 0, 11, 1,   27.46,    3.80,  -68.12,  -28.22,  -42.20,   -3.72,    0.02,    3.47
 86, 0,  1, 1,   28.73,    4.94,  -67.75,   36.92,   41.60,   -1.91,    0.06,    2.90
 14, 0,  2, 1,   26.81,    7.73,  -67.42,   30.31,   34.80,    4.08,    0.08,    4.52
 41, 0,  3, 1,   27.22,    5.58,  -67.97,   18.93,   21.80,    1.45,    0.17,    2.86
 88, 0,  4, 1,   27.24,    4.92,  -68.14,    8.57,   11.40,    2.46,    0.09,    3.48
 63, 0,  5, 1,   26.93,    4.37,  -68.18,    2.89,    5.70,    1.61,    0.11,    2.60
  2, 0,  6, 1,   27.07,    3.10,  -68.15,    6.21,    0.00,    0.06,    0.04,    3.95
 50, 0,  7, 1,   26.43,    3.32,  -68.29,   -4.32,  -11.40,    1.57,    0.02,    4.24
 40, 0,  8, 1,   26.44,    4.08,  -68.22,   -9.54,  -16.80,    0.83,    0.02,    2.90
 20, 0,  9, 1,   27.45,    4.15,  -68.21,  -19.79,  -31.20,   -2.86,    0.02,    2.71
 29, 0, 10, 1,   27.39,    3.42,  -68.10,  -29.47,  -38.90,   -2.82,    0.03,    6.27
 71, 0, 11, 1,   27.93,    3.33,  -68.25,  -29.28,  -42.20,   -3.98,    0.10,    3.21
 48, 1,  1, 1,   29.99,    4.45,  -67.83,   42.06,   41.60,   -5.75,    0.20,    2.98
 18, 1,  2, 1,   27.98,    7.36,  -67.60,   32.30,   34.80,    1.63,    0.08,    4.18
  6, 1,  3, 1,   26.78,    6.56,  -67.83,   20.21,   21.80,    1.81,    0.03,    4.35
 52, 1,  4, 1,   26.66,    5.57,  -68.06,   10.20,   11.40,    2.26,    0.10,    2.36
 24, 1,  5, 1,   27.03,    6.17,  -67.99,    2.32,    5.70,    0.96,    0.12,    4.06
 64, 1,  6, 1,   26.79,    4.38,  -68.18,   -2.06,    0.00,    1.59,    0.15,    2.88
 23, 1,  7, 1,   27.25,    5.17,  -68.12,  -13.28,  -11.40,   -1.63,    0.13,    3.92
 15, 1,  8, 1,   25.57,    4.29,  -68.01,  -21.43,  -16.80,    0.67,    0.20,    5.53
 57, 1,  9, 1,   27.51,    0.37,  -68.12,  -36.38,  -31.20,   -0.78,    0.15,    2.96
 13, 1, 10, 1,   26.85,    2.84,  -67.92,  -40.87,  -38.90,   -4.04,    0.15,    5.15
 21, 1, 11, 1,   28.28,    3.53,  -67.92,  -40.97,  -42.20,   -7.23,    0.12,    3.91
 11, 1,  1, 1,   28.56,    7.95,  -67.38,   40.06,   41.60,    0.75,    0.21,    5.02
 84, 1,  2, 1,   28.30,    5.57,  -67.74,   33.02,   34.80,   -0.32,    0.14,    2.95
 28, 1,  3, 1,   27.98,    6.60,  -67.76,   21.40,   21.80,    1.08,    0.24,    4.91
 61, 1,  4, 1,   27.57,    4.34,  -68.28,    6.22,   11.40,    0.49,    0.15,    2.46
 85, 1,  5, 1,   27.18,    4.03,  -68.24,    4.91,    5.70,    1.27,    0.15,    3.16
 47, 1,  6, 1,   27.08,    4.28,  -68.33,   -0.94,    0.00,   -0.06,    0.17,    3.01
