# VP05   2012-04-25_16-25-46
# Elapsed time of measurement: 429 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 25.54, 10.37, -75.47, 0.07, 0.07


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 20, 2,  1, 1,   29.01,    8.66,  -75.46,   42.88,   41.60,   -8.60,    0.48,    6.92
  1, 2,  2, 1,   31.04,    8.11,  -75.20,   36.18,   34.80,  -11.12,    0.46,    5.81
 26, 2,  3, 1,   28.30,    8.21,  -75.23,   24.59,   21.80,   -6.25,    0.38,    3.76
 38, 2,  4, 1,   27.46,    9.46,  -75.63,   16.45,   11.40,   -2.76,    0.33,    8.26
 34, 2,  5, 1,   25.65,    6.45,  -75.62,    3.98,    5.70,   -0.11,    0.23,    3.50
 37, 2,  6, 1,   25.47,    7.87,  -75.61,   -2.11,    0.00,    1.81,    0.28,   13.96
 45, 2,  7, 1,   24.44,    5.24,  -75.61,  -13.21,  -11.40,    4.04,    0.53,    9.72
 43, 2,  8, 1,   24.75,    5.18,  -75.51,  -22.21,  -16.80,    3.82,    0.10,    5.36
  9, 2,  9, 1,   25.57,    4.58,  -75.61,  -30.22,  -31.20,    2.59,    0.26,   10.29
 47, 2, 10, 1,   24.76,    5.69,  -75.01,  -26.48,  -38.90,    2.74,    0.67,   10.66
 17, 2, 11, 1,   24.19,    3.01,  -75.21,  -34.97,  -42.20,    6.16,    0.54,    7.13
