# VP08   2012-04-27_15-25-60
# Elapsed time of measurement: 239 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 30.86, 7.24, -71.37, -0.10, 0.04


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 40, 0,  1, 1,   34.92,    4.87,  -71.03,   36.82,   41.60,   -1.83,    0.02,    2.80
 54, 0,  2, 1,   33.70,    5.12,  -71.06,   32.30,   34.80,    0.57,    0.05,    3.20
 60, 0,  3, 1,   32.89,    4.79,  -71.26,   14.71,   21.80,   -0.13,    0.09,    2.23
 45, 0,  4, 1,   31.87,    5.03,  -71.29,    1.23,   11.40,   -0.42,    0.02,    2.79
 63, 0,  5, 1,   32.15,    4.91,  -71.34,    1.96,    5.70,   -0.01,    0.03,    2.34
 48, 0,  6, 1,   32.13,    5.26,  -71.29,   -0.67,    0.00,   -1.11,    0.08,    1.88
 27, 0,  7, 1,   31.54,    5.25,  -71.30,   -0.69,  -11.40,    0.08,    0.33,    2.13
 41, 0,  8, 1,   31.85,    4.87,  -71.34,   -7.64,  -16.80,   -1.62,    0.05,    2.67
 35, 0,  9, 1,   31.39,    3.40,  -71.39,  -22.74,  -31.20,   -3.47,    0.36,    3.50
  8, 0, 10, 1,   29.67,    4.98,  -71.10,  -28.67,  -38.90,   -3.44,    0.09,    1.89
 30, 0, 11, 1,   31.85,    4.22,  -71.25,  -26.81,  -42.20,   -5.97,    0.13,    2.12
 46, 0,  1, 1,   34.06,    4.90,  -71.08,   32.31,   41.60,   -0.71,    0.04,    2.66
 26, 0,  2, 1,   33.68,    5.24,  -71.17,   27.15,   34.80,   -0.21,    0.07,    2.89
  2, 0,  3, 1,   31.57,    5.98,  -71.27,   11.97,   21.80,    1.02,    0.03,    1.85
 65, 0,  4, 1,   32.55,    4.75,  -71.33,    7.18,   11.40,   -0.10,    0.04,    3.04
 49, 0,  5, 1,   32.33,    4.88,  -71.32,    0.85,    5.70,   -1.35,    0.03,    2.22
 64, 0,  6, 1,   32.21,    4.57,  -71.36,    0.63,    0.00,   -0.48,    0.13,    2.74
  1, 0,  7, 1,   30.77,    5.59,  -71.32,   -5.83,  -11.40,   -1.03,    0.07,    1.99
 51, 0,  8, 1,   31.25,    3.69,  -71.42,  -10.03,  -16.80,   -1.02,    0.13,    2.43
 33, 0,  9, 1,   30.13,    4.11,  -71.26,  -22.19,  -31.20,   -1.32,    0.23,    2.18
 44, 0, 10, 1,   31.41,    3.67,  -71.27,  -26.53,  -38.90,   -4.50,    0.10,    2.79
 11, 0, 11, 1,   29.81,    4.43,  -71.14,  -28.56,  -42.20,   -3.19,    0.06,    2.91
  4, 1,  1, 1,   33.88,    6.39,  -71.00,   32.78,   41.60,    0.60,    0.64,    2.51
 36, 1,  2, 1,   34.62,    5.42,  -70.98,   41.33,   34.80,   -0.20,    0.19,    3.76
 42, 1,  3, 1,   33.18,    5.08,  -71.34,   19.43,   21.80,   -0.46,    0.23,    2.98
 24, 1,  4, 1,   31.75,    5.71,  -70.97,    5.04,   11.40,    0.49,    0.59,    1.98
 20, 1,  5, 1,   31.58,    5.44,  -71.33,    4.56,    5.70,   -0.32,    0.18,    1.80
 29, 1,  6, 1,   32.02,    6.06,  -71.30,   -2.40,    0.00,   -1.53,    0.18,    2.60
 55, 1,  7, 1,   32.23,    4.10,  -71.27,  -17.07,  -11.40,   -4.43,    0.12,    3.34
 16, 1,  8, 1,   29.66,    4.57,  -71.24,  -17.79,  -16.80,   -0.28,    0.36,    1.91
 28, 1,  9, 1,   29.75,    2.85,  -71.23,  -34.56,  -31.20,   -2.98,    0.21,    2.88
  9, 1, 10, 1,   28.48,    2.83,  -71.00,  -42.24,  -38.90,   -2.24,    0.22,    3.18
 12, 1, 11, 1,   28.50,    2.60,  -71.12,  -43.06,  -42.20,   -2.53,    0.09,    2.99
 34, 1,  1, 1,   34.31,    4.97,  -71.18,   43.82,   41.60,   -0.60,    0.33,    4.79
 52, 1,  2, 1,   33.78,    4.98,  -70.95,   33.44,   34.80,    0.32,    0.18,    3.14
 13, 1,  3, 1,   33.21,    6.23,  -71.13,   19.16,   21.80,   -0.35,    0.14,    3.28
  6, 1,  4, 1,   32.55,    6.60,  -71.19,   17.08,   11.40,    0.74,    0.25,    2.80
  3, 1,  5, 1,   30.47,    5.87,  -71.16,   -1.56,    5.70,    0.90,    0.14,    3.25
 39, 1,  6, 1,   32.56,    6.11,  -71.30,    3.78,    0.00,   -1.69,    0.23,    2.78
 47, 1,  7, 1,   31.68,    3.76,  -71.37,  -20.82,  -11.40,   -3.74,    0.15,    2.68
 17, 1,  8, 1,   29.66,    4.47,  -71.28,  -17.33,  -16.80,   -0.15,    0.05,    2.28
 53, 1,  9, 1,   30.35,    3.00,  -71.05,  -37.57,  -31.20,   -4.22,    0.17,    3.26
  5, 1, 10, 1,   30.06,    4.21,  -70.97,  -35.66,  -38.90,   -5.43,    0.49,    2.91
 38, 1, 11, 1,   29.74,    2.25,  -70.92,  -45.23,  -42.20,   -3.38,    0.40,    2.22
 23, 2,  1, 1,   33.70,    5.66,  -70.91,   32.97,   41.60,    0.65,    0.52,    3.66
 61, 2,  2, 1,   33.10,    5.64,  -71.26,   26.21,   34.80,    1.68,    0.16,    4.26
 10, 2,  3, 1,   31.57,    6.92,  -71.15,   16.40,   21.80,    2.89,    0.37,    2.80
 62, 2,  4, 1,   31.95,    4.94,  -71.35,   -1.76,   11.40,   -0.29,    0.18,    3.10
 43, 2,  5, 1,   32.13,    5.67,  -71.16,    2.58,    5.70,   -0.38,    0.36,    3.44
 32, 2,  6, 1,   30.87,    6.26,  -71.05,    0.23,    0.00,    1.31,    0.51,    4.05
 19, 2,  7, 1,   30.61,    4.89,  -71.26,   -6.78,  -11.40,   -0.40,    0.49,    2.35
 66, 2,  8, 1,   31.45,    3.82,  -71.35,  -12.84,  -16.80,   -1.52,    0.48,    6.41
  7, 2,  9, 1,   30.22,    5.67,  -71.12,  -21.87,  -31.20,   -3.30,    0.61,    4.47
 18, 2, 10, 1,   29.45,    2.80,  -71.08,  -38.57,  -38.90,   -3.30,    0.58,    2.93
 50, 2, 11, 1,   30.74,    2.69,  -71.32,  -30.77,  -42.20,   -3.56,    0.25,    3.11
 58, 2,  1, 1,   33.18,    4.63,  -71.27,   23.98,   41.60,    0.41,    0.23,    1.70
 57, 2,  2, 1,   33.24,    4.79,  -71.22,   24.00,   34.80,    0.34,    0.22,    3.02
 31, 2,  3, 1,   34.02,    5.85,  -71.10,   24.19,   21.80,   -0.73,    0.39,    3.71
 25, 2,  4, 1,   31.51,    6.26,  -70.92,    8.09,   11.40,    1.69,    0.38,    3.71
 59, 2,  5, 1,   31.68,    4.46,  -71.31,    1.53,    5.70,   -0.16,    0.29,    2.85
 14, 2,  6, 1,   29.54,    6.25,  -71.21,   -0.32,    0.00,    2.26,    0.42,    5.49
 56, 2,  7, 1,   31.89,    3.90,  -71.43,   -6.34,  -11.40,   -1.14,    0.29,    4.29
 21, 2,  8, 1,   30.69,    4.89,  -71.37,  -15.38,  -16.80,   -2.18,    0.42,    2.75
 15, 2,  9, 1,   28.81,    2.84,  -70.86,  -38.83,  -31.20,   -2.11,    0.39,    3.61
 22, 2, 10, 1,   29.73,    3.11,  -70.83,  -37.81,  -38.90,   -4.33,    0.19,    2.72
 37, 2, 11, 1,   31.17,    4.37,  -70.96,  -29.91,  -42.20,   -5.19,    0.25,    4.23
