# VP03   2012-04-25_14-22-12
# Elapsed time of measurement: 251 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 32.31, 13.46, -69.14, -1.77, 0.09


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 43, 0,  1, 1,   38.38,    8.88,  -68.20,   37.97,   41.60,  -10.47,    0.22,    5.79
 52, 0,  2, 1,   36.01,   11.61,  -68.27,   34.58,   34.80,   -3.26,    0.62,    2.66
 24, 0,  3, 1,   34.21,   11.40,  -68.70,   16.14,   21.80,   -0.50,    0.06,    3.71
 20, 0,  4, 1,   34.61,   10.94,  -68.85,    8.29,   11.40,   -2.41,    0.04,    2.72
 40, 0,  5, 1,   33.92,   11.53,  -68.80,    5.39,    5.70,   -1.05,    0.13,    2.53
 28, 0,  6, 1,   33.70,   11.20,  -68.91,   -1.48,    0.00,   -0.95,    0.11,    2.78
 10, 0,  7, 1,   32.71,   12.34,  -68.92,   -5.73,  -11.40,   -0.48,    0.22,    3.17
 49, 0,  8, 1,   33.15,   11.18,  -68.93,   -8.91,  -16.80,   -1.12,    0.23,    2.15
  8, 0,  9, 1,   31.78,   10.24,  -69.22,  -28.99,  -31.20,   -0.42,    0.14,    1.72
  5, 0, 10, 1,   31.83,    9.90,  -69.26,  -30.74,  -38.90,   -0.47,    0.11,    2.89
 66, 0, 11, 1,   29.46,    9.95,  -68.55,  -35.03,  -42.20,   -0.82,    0.13,    2.54
 13, 0,  1, 1,   37.50,   12.01,  -68.19,   40.24,   41.60,   -4.01,    0.11,    3.40
 59, 0,  2, 1,   36.45,   11.20,  -68.06,   32.34,   34.80,   -3.47,    0.13,    3.36
 44, 0,  3, 1,   36.67,   10.40,  -68.53,   22.51,   21.80,   -6.50,    0.04,    1.84
 21, 0,  4, 1,   34.47,   10.94,  -68.84,    7.97,   11.40,   -2.26,    0.14,    1.36
 34, 0,  5, 1,   33.58,   11.59,  -68.76,    7.78,    5.70,   -0.13,    0.15,    2.59
