# VP08   2012-04-27_15-17-38
# Elapsed time of measurement: 472 s
# Visual calibration
# n,x,y,z,phi,std(phi)
1, 28.45, 11.55, -73.23, 0.37, 0.09


# Localization experiment
# mode: 0 => generic; 1 => brs_calypso; 2 => brs_rar
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 69, 0,  1, 1,   32.50,    6.22,  -72.34,   35.25,   41.60,    2.22,    0.27,    2.94
 52, 0,  2, 1,   33.30,    7.01,  -72.40,   31.94,   34.80,    0.16,    0.15,    3.06
 93, 0,  3, 1,   35.77,    8.70,  -72.82,   16.34,   21.80,    3.77,    1.17,    3.36
 27, 0,  4, 1,   31.25,    8.00,  -72.84,    9.96,   11.40,   -0.02,    0.19,    3.40
 45, 0,  5, 1,   29.72,    7.11,  -72.66,    6.33,    5.70,    1.44,    0.07,    2.18
  3, 0,  6, 1,   28.50,    9.54,  -72.96,    2.61,    0.00,    1.91,    0.03,    4.11
 60, 0,  7, 1,   30.14,    6.05,  -72.63,   -2.23,  -11.40,   -0.27,    0.24,    2.14
 97, 0,  8, 1,   24.40,    3.75,  -72.36,   -9.08,  -16.80,    8.20,    0.09,    3.01
  8, 0,  9, 1,   27.10,    7.78,  -72.83,  -24.91,  -31.20,   -1.64,    0.05,    4.60
 38, 0, 10, 1,   28.73,    6.04,  -72.67,  -27.94,  -38.90,   -4.84,    0.10,    3.47
 41, 0, 11, 1,   27.76,    4.96,  -72.60,  -30.78,  -42.20,   -3.31,    0.04,    4.27
 26, 0,  1, 1,   33.09,    7.97,  -72.57,   39.02,   41.60,    1.43,    0.13,    2.78
 67, 0,  2, 1,   33.03,    5.72,  -72.44,   31.44,   34.80,    0.10,    0.50,    1.76
 61, 0,  3, 1,   31.41,    6.71,  -72.48,   16.20,   21.80,    1.06,    0.10,    2.16
  2, 0,  4, 1,   29.56,   10.35,  -72.85,   18.46,   11.40,    3.78,    0.16,    5.20
  7, 0,  5, 1,   30.46,   10.02,  -72.90,    9.80,    5.70,    0.82,    0.09,    4.39
 99, 0,  6, 1,   25.25,    7.00,  -72.71,    3.21,    0.00,    5.32,    0.15,    2.39
 74, 0,  7, 1,   29.24,    3.14,  -72.75,  -13.66,  -11.40,   -0.01,    0.10,    2.64
 70, 0,  8, 1,   30.16,    4.60,  -72.76,   -9.19,  -16.80,   -0.57,    0.11,    2.36
 12, 0,  9, 1,   28.40,    8.44,  -72.80,  -22.33,  -31.20,   -3.63,    0.09,    3.49
  9, 0, 10, 1,   26.98,    7.60,  -72.78,  -29.51,  -38.90,   -2.75,    0.04,    3.26
 86, 0, 11, 1,   30.16,    2.30,  -72.63,  -29.30,  -42.20,   -3.25,    0.10,    2.19
 71, 0,  1, 1,   33.01,    6.00,  -72.35,   37.72,   41.60,    1.79,    0.21,    2.61
 96, 0,  2, 1,   32.23,    8.01,  -72.72,   30.12,   34.80,    2.04,    0.18,    4.03
 20, 0,  3, 1,   30.02,    8.66,  -72.79,   17.49,   21.80,    3.94,    0.10,    2.82
 88, 0,  4, 1,   31.42,    4.53,  -72.59,    9.85,   11.40,    0.11,    0.04,    1.84
 53, 0,  5, 1,   31.44,    6.58,  -72.61,    8.29,    5.70,   -1.00,    0.06,    2.65
 13, 0,  6, 1,   29.46,    9.11,  -72.91,    1.75,    0.00,    1.07,    0.03,    3.73
 65, 0,  7, 1,   29.22,    5.00,  -72.61,   -7.35,  -11.40,    0.42,    0.10,    2.78
 48, 0,  8, 1,   29.43,    6.38,  -72.68,  -11.01,  -16.80,   -1.51,    0.15,    2.59
 72, 0,  9, 1,   30.78,    3.81,  -72.75,  -21.54,  -31.20,   -4.31,    0.07,    2.72
 77, 0, 10, 1,   29.49,    2.23,  -72.66,  -28.62,  -38.90,   -2.28,    0.02,    3.02
 43, 0, 11, 1,   28.90,    5.39,  -72.65,  -31.53,  -42.20,   -5.61,    0.09,    2.99
 18, 1,  1, 1,   33.30,    7.77,  -72.81,   43.12,   41.60,    0.40,    0.20,    4.23
 31, 1,  2, 1,   33.52,    8.65,  -72.18,   38.38,   34.80,    1.35,    0.28,    4.47
 59, 1,  3, 1,   32.16,    7.22,  -72.34,   25.88,   21.80,    1.65,    0.14,    3.04
 56, 1,  4, 1,   30.38,    5.84,  -72.51,   17.85,   11.40,    2.46,    0.35,    3.87
 81, 1,  5, 1,   30.14,    3.92,  -72.85,    1.50,    5.70,    0.94,    0.29,    2.55
 83, 1,  6, 1,   30.28,    4.22,  -72.59,   -1.08,    0.00,    0.94,    0.13,    2.11
 40, 1,  7, 1,   28.75,    6.63,  -72.75,   -9.91,  -11.40,   -0.86,    0.28,    3.58
 44, 1,  8, 1,   28.76,    5.73,  -72.75,  -18.24,  -16.80,   -2.51,    0.15,    4.07
 11, 1,  9, 1,   27.21,    7.34,  -72.59,  -38.53,  -31.20,   -5.93,    0.21,    5.45
 64, 1, 10, 1,   27.28,    2.39,  -72.29,  -44.72,  -38.90,   -2.68,    0.15,    3.26
 73, 1, 11, 1,   27.90,    1.82,  -72.34,  -44.77,  -42.20,   -2.41,    0.15,    2.92
 92, 1,  1, 1,   35.20,    4.51,  -71.96,   41.78,   41.60,   -1.72,    0.31,    3.38
 10, 1,  2, 1,   33.46,    9.48,  -72.54,   36.60,   34.80,    1.33,    0.10,    7.49
 57, 1,  3, 1,   32.35,    6.47,  -72.39,   23.91,   21.80,    0.31,    0.16,    2.03
 85, 1,  4, 1,   31.20,    4.77,  -72.66,    8.48,   11.40,    0.51,    0.38,    1.82
 91, 1,  5, 1,   30.93,    4.29,  -72.51,    4.85,    5.70,    0.46,    0.07,    2.19
 54, 1,  6, 1,   30.10,    5.93,  -72.65,   -3.74,    0.00,   -0.88,    0.11,    4.37
 25, 1,  7, 1,   28.84,    6.86,  -72.72,  -16.51,  -11.40,   -2.07,    0.23,    2.58
 63, 1,  8, 1,   29.84,    4.93,  -72.62,  -18.78,  -16.80,   -3.11,    0.36,    2.71
 35, 1,  9, 1,   27.49,    5.52,  -72.60,  -29.15,  -31.20,   -3.03,    0.21,    2.82
 58, 1, 10, 1,   28.69,    4.33,  -72.27,  -42.42,  -38.90,   -6.59,    0.26,    2.74
 36, 1, 11, 1,   27.23,    4.80,  -72.29,  -41.32,  -42.20,   -5.34,    0.25,    2.77
 37, 1,  1, 1,   34.11,    7.62,  -72.38,   45.01,   41.60,    0.35,    0.29,    3.55
 21, 1,  2, 1,   32.48,    8.59,  -72.45,   36.44,   34.80,    2.82,    0.33,    4.50
 79, 1,  3, 1,   31.35,    4.53,  -72.73,   17.05,   21.80,    0.94,    0.22,    2.62
 50, 1,  4, 1,   30.21,    7.20,  -72.58,    8.05,   11.40,    1.61,    0.18,    2.88
 28, 1,  5, 1,   30.58,    7.86,  -72.72,    3.07,    5.70,   -0.08,    0.27,    5.15
 87, 1,  6, 1,   31.39,    5.02,  -72.38,    2.19,    0.00,   -1.33,    0.31,    2.73
 23, 1,  7, 1,   29.03,    6.92,  -72.90,  -12.70,  -11.40,   -1.49,    0.18,    2.80
 22, 1,  8, 1,   28.53,    6.47,  -72.85,  -22.74,  -16.80,   -2.69,    0.15,    4.87
 39, 1,  9, 1,   27.78,    5.28,  -72.60,  -33.34,  -31.20,   -4.17,    0.14,    3.33
 68, 1, 10, 1,   29.04,    3.54,  -72.45,  -41.02,  -38.90,   -5.24,    0.16,    3.22
 55, 1, 11, 1,   28.54,    3.89,  -72.30,  -40.63,  -42.20,   -5.84,    0.55,    3.07
 29, 2,  1, 1,   33.06,    8.02,  -72.85,   37.82,   41.60,    1.52,    0.33,    3.70
 15, 2,  2, 1,   32.71,    9.06,  -72.61,   39.41,   34.80,    2.68,    0.27,    4.09
 66, 2,  3, 1,   31.44,    6.75,  -72.54,   23.27,   21.80,    2.23,    0.40,    6.03
 78, 2,  4, 1,   30.66,    4.58,  -72.65,   17.21,   11.40,    2.34,    0.68,    6.65
 95, 2,  5, 1,   32.42,    8.64,  -72.87,    2.03,    5.70,    1.16,    1.28,   12.39
 84, 2,  6, 1,   30.68,    4.98,  -72.63,   -1.17,    0.00,   -0.07,    0.43,    5.98
  4, 2,  7, 1,   27.27,    8.85,  -72.66,  -16.71,  -11.40,   -0.86,    0.42,    4.04
 33, 2,  8, 1,   27.35,    7.52,  -72.49,   -5.92,  -16.80,    3.11,    0.73,    5.57
 90, 2,  9, 1,   29.65,    3.19,  -72.91,  -17.24,  -31.20,   -1.62,    0.52,    6.10
  1, 2, 10, 1,   26.98,    7.35,  -72.84,  -36.61,  -38.90,   -6.00,    0.37,    5.64
 16, 2, 11, 1,   28.30,    6.33,  -72.82,  -34.35,  -42.20,   -5.69,    0.29,    5.08
 76, 2,  1, 1,   32.54,    4.52,  -72.39,   34.56,   41.60,    0.36,    0.24,    3.89
 62, 2,  2, 1,   32.41,    6.59,  -72.44,   37.03,   34.80,    2.30,    0.44,    3.09
 47, 2,  3, 1,   30.54,    7.41,  -72.45,   16.89,   21.80,    2.74,    0.38,    5.25
 80, 2,  4, 1,   31.10,    5.27,  -72.77,   14.79,   11.40,    1.31,    0.75,    4.63
 19, 2,  5, 1,   28.28,    8.50,  -72.97,    2.82,    5.70,    4.43,    0.80,    8.63
 89, 2,  6, 1,   30.26,    5.73,  -72.54,    1.07,    0.00,    1.12,    0.39,    5.98
 24, 2,  7, 1,   29.08,    7.76,  -72.82,   -2.66,  -11.40,    0.49,    0.66,    5.49
  6, 2,  8, 1,   29.22,    9.47,  -72.86,  -20.13,  -16.80,   -5.71,    0.14,    5.35
 14, 2,  9, 1,   27.95,    7.39,  -72.89,  -26.60,  -31.20,   -3.56,    0.40,    3.94
 34, 2, 10, 1,   26.61,    4.82,  -72.40,  -36.91,  -38.90,   -3.12,    0.34,    4.49
 32, 2, 11, 1,   28.33,    6.10,  -72.34,  -34.01,  -42.20,   -6.08,    0.14,    5.44
 42, 2,  1, 1,   33.74,    7.26,  -72.33,   38.90,   41.60,    0.12,    0.41,    3.81
 94, 2,  2, 1,   34.37,    9.56,  -72.03,   33.53,   34.80,    4.85,    0.51,    5.59
 46, 2,  3, 1,   32.10,    7.41,  -72.11,   24.04,   21.80,    1.04,    0.18,    3.62
 75, 2,  4, 1,   29.87,    4.16,  -72.71,    0.06,   11.40,    0.74,    0.29,    2.91
 82, 2,  5, 1,   31.00,    5.13,  -72.63,   10.04,    5.70,    1.30,    0.53,    6.02
