
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_L%s.dat', L) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-0.287625 -0.95333 2 
-0.279482 -0.943144 2 
-0.274247 -0.936654 2 
-0.268751 -0.929766 2 
-0.26087 -0.919978 2 
-0.25801 -0.916388 2 
-0.247492 -0.903301 2 
-0.24726 -0.90301 2 
-0.236544 -0.889632 2 
-0.234114 -0.886626 2 
-0.225822 -0.876254 2 
-0.220736 -0.86995 2 
-0.215092 -0.862876 2 
-0.207358 -0.853274 2 
-0.204351 -0.849498 2 
-0.19398 -0.836597 2 
-0.193601 -0.83612 2 
-0.182883 -0.822742 2 
-0.180602 -0.819922 2 
-0.172163 -0.809365 2 
-0.167224 -0.803246 2 
-0.161432 -0.795987 2 
-0.153846 -0.78657 2 
-0.150692 -0.782609 2 
-0.140468 -0.769893 2 
-0.139942 -0.769231 2 
-0.129222 -0.755853 2 
-0.12709 -0.753217 2 

