# Data file generated by gp_save_table.m
# pairwise differences of ratings (Noise Vs Speech)
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.002058	-0.001029	0.016461	0.000000	0.016461	0.230513	0.891916	0.115256	0.562500	0.004115	-0.298354	0.016461	0.000000	0.016461	0.006173	0.000000	0.000000	0.000000	0.000000	-0.004115	0.006173	0.067901	0.014403	0.037037	0.195473	-0.092593	-0.026749	-0.002058	0.174897	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.000000	0.000000	0.042181	0.000000	0.041152	0.058258	0.975780	0.029129	0.626250	0.082305	0.000000	0.043210	0.000000	0.000000	0.002058	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010288	0.000000	0.041152	0.006173	0.061728	0.090535	-0.004115	0.057613	0.000000	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.290123	0.196502	0.404321	0.207819	0.386831	0.000134	0.999948	0.000067	0.800000	0.047325	0.386831	0.222222	0.207819	0.318930	0.339506	0.436214	0.277778	0.421811	0.481481	0.288066	0.870370	0.386831	-0.288066	0.244856	-0.183128	0.185185	0.292181	0.512346	0.135802	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.012346	-0.123457	0.082305	-0.115226	0.082305	0.701181	0.350591	0.676172	0.533750	0.006173	-0.158436	-0.113169	0.028807	0.131687	0.065844	0.072016	-0.131687	0.086420	-0.251029	-0.115226	-0.061728	-0.253086	-0.189300	0.082305	-0.030864	0.697531	0.279835	-0.082305	0.082305	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.074074	-0.087449	0.197531	-0.045267	0.127572	0.261099	0.884744	0.130549	0.566250	0.076132	-0.045267	0.370370	0.267490	-0.286008	0.072016	0.020576	0.432099	0.390947	-0.141975	-0.129630	-0.362140	-0.129630	-0.016461	0.442387	0.086420	0.115226	0.098765	0.127572	0.000000	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.101852	0.027778	0.270576	0.037037	0.226337	0.000851	0.999646	0.000425	0.716250	-0.012346	0.213992	0.098765	0.104938	0.018519	0.500000	0.078189	0.065844	0.004115	0.380658	-0.030864	0.475309	0.355967	0.037037	0.226337	0.063786	0.109053	0.314815	-0.269547	0.141975	
"LWFS-SBL 512 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	0.153292	0.003086	0.355967	0.008230	0.347737	0.002712	0.998837	0.001356	0.777500	-0.004115	-0.102881	0.049383	0.098765	0.170782	0.347737	0.135802	0.127572	0.008230	0.364198	-0.125514	0.419753	0.432099	-0.207819	0.273663	0.382716	0.767490	0.306584	0.174897	-0.002058	
"LWFS-SBL 256 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.068930	0.008230	0.180041	0.016461	0.148148	0.026642	0.989258	0.013321	0.643750	0.000000	0.450617	0.090535	0.026749	0.016461	0.211934	0.059671	0.113169	-0.102881	0.393004	0.037037	0.148148	-0.053498	-0.195473	0.078189	0.135802	-0.152263	0.364198	0.329218	0.028807	
"LWFS-SBL 128 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.020576	-0.078189	0.123457	-0.074074	0.119342	0.647655	0.702090	0.323828	0.528750	0.000000	0.218107	0.045267	0.127572	-0.057613	0.041152	-0.018519	0.419753	-0.082305	-0.057613	-0.074074	0.259259	-0.181070	-0.399177	0.069959	-0.109053	0.094650	0.119342	-0.376543	0.390947	
"LWFS-SBL 64 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.188272	0.000000	0.348765	0.004115	0.347737	0.013617	0.994656	0.006808	0.670000	0.012346	0.349794	-0.117284	0.281893	0.500000	0.347737	0.637860	0.390947	0.170782	0.397119	0.290123	-0.150206	-0.146091	-0.438272	0.271605	0.205761	0.076132	0.139918	-0.004115	0.004115	
