
# Surface 0 of 1 surfaces

# Curve title: "'fS_M27.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
1.11241 -0.135452 2.5 

# Contour 2, label: 
0.0725743 0.787625 2.5 
0.0752508 0.784998 2.5 
0.0828971 0.777592 2.5 
0.0852843 0.775248 2.5 
0.0932191 0.767559 2.5 
0.0953177 0.765497 2.5 
0.105351 0.763012 2.5 
0.111031 0.757525 2.5 
0.115385 0.753265 2.5 
0.121359 0.747492 2.5 
0.125418 0.743519 2.5 
0.131686 0.737458 2.5 
0.135452 0.733771 2.5 
0.142012 0.727425 2.5 
0.145485 0.724023 2.5 
0.152338 0.717391 2.5 
0.155518 0.714275 2.5 
0.162663 0.707358 2.5 
0.165552 0.704526 2.5 
0.172987 0.697324 2.5 
0.175585 0.694777 2.5 
0.183311 0.687291 2.5 
0.185619 0.685027 2.5 
0.195652 0.682538 2.5 
0.201117 0.677258 2.5 
0.205686 0.672792 2.5 
0.211446 0.667224 2.5 
0.215719 0.663046 2.5 
0.221774 0.657191 2.5 
0.225753 0.653299 2.5 
0.232101 0.647157 2.5 
0.235786 0.643552 2.5 
0.242427 0.637124 2.5 
0.245819 0.633804 2.5 
0.252753 0.62709 2.5 
0.255853 0.624056 2.5 
0.263079 0.617057 2.5 
0.265886 0.614308 2.5 
0.27592 0.611812 2.5 
0.280876 0.607023 2.5 
0.285953 0.602067 2.5 
0.291206 0.59699 2.5 
0.295987 0.592322 2.5 
0.301535 0.586957 2.5 
0.30602 0.582576 2.5 
0.311864 0.576923 2.5 
0.316054 0.572829 2.5 
0.322192 0.56689 2.5 
0.326087 0.563083 2.5 
0.332519 0.556856 2.5 
0.33612 0.553335 2.5 
0.342846 0.546823 2.5 
0.346154 0.543588 2.5 
0.353172 0.536789 2.5 
0.356187 0.53384 2.5 
0.366221 0.531343 2.5 
0.370967 0.526756 2.5 
0.376254 0.521598 2.5 
0.381298 0.516722 2.5 
0.386288 0.511853 2.5 
0.391627 0.506689 2.5 
0.396321 0.502107 2.5 
0.401956 0.496656 2.5 
0.406355 0.492361 2.5 
0.412284 0.486622 2.5 
0.416388 0.482614 2.5 
0.422612 0.476589 2.5 
0.426421 0.472867 2.5 
0.432939 0.466555 2.5 
0.436455 0.46312 2.5 
0.443266 0.456522 2.5 
0.446488 0.453372 2.5 
0.456522 0.450876 2.5 
0.461061 0.446488 2.5 
0.466555 0.441131 2.5 
0.471391 0.436455 2.5 
0.476589 0.431386 2.5 
0.481721 0.426421 2.5 
0.486622 0.42164 2.5 
0.49205 0.416388 2.5 
0.496656 0.411894 2.5 
0.502379 0.406355 2.5 
0.506689 0.402147 2.5 
0.512707 0.396321 2.5 
0.516722 0.392401 2.5 
0.523034 0.386288 2.5 
0.526756 0.382653 2.5 
0.533361 0.376254 2.5 
0.536789 0.372906 2.5 
0.546823 0.37041 2.5 
0.551155 0.366221 2.5 
0.556856 0.360665 2.5 
0.561486 0.356187 2.5 
0.56689 0.35092 2.5 
0.571816 0.346154 2.5 
0.576923 0.341174 2.5 
0.582145 0.33612 2.5 
0.586957 0.331428 2.5 
0.592474 0.326087 2.5 

# Contour 3, label: 
-0.461061 0.446488 2.5 
-0.456522 0.450876 2.5 
-0.446488 0.453372 2.5 
-0.443266 0.456522 2.5 
-0.436455 0.46312 2.5 
-0.432939 0.466555 2.5 
-0.426421 0.472867 2.5 
-0.422612 0.476589 2.5 
-0.416388 0.482614 2.5 
-0.412284 0.486622 2.5 
-0.406355 0.492361 2.5 
-0.401956 0.496656 2.5 
-0.396321 0.502107 2.5 
-0.391627 0.506689 2.5 
-0.386288 0.511853 2.5 
-0.381298 0.516722 2.5 
-0.376254 0.521598 2.5 
-0.370967 0.526756 2.5 
-0.366221 0.531343 2.5 
-0.356187 0.53384 2.5 
-0.353172 0.536789 2.5 
-0.346154 0.543588 2.5 
-0.342846 0.546823 2.5 
-0.33612 0.553335 2.5 
-0.332519 0.556856 2.5 
-0.326087 0.563083 2.5 
-0.322192 0.56689 2.5 
-0.316054 0.572829 2.5 
-0.311864 0.576923 2.5 
-0.30602 0.582576 2.5 
-0.301535 0.586957 2.5 
-0.295987 0.592322 2.5 
-0.291206 0.59699 2.5 
-0.285953 0.602067 2.5 
-0.280876 0.607023 2.5 
-0.27592 0.611812 2.5 
-0.265886 0.614308 2.5 
-0.263079 0.617057 2.5 
-0.255853 0.624056 2.5 
-0.252753 0.62709 2.5 
-0.245819 0.633804 2.5 
-0.242427 0.637124 2.5 
-0.235786 0.643552 2.5 
-0.232101 0.647157 2.5 
-0.225753 0.653299 2.5 
-0.221774 0.657191 2.5 
-0.215719 0.663046 2.5 
-0.211446 0.667224 2.5 
-0.205686 0.672792 2.5 
-0.201117 0.677258 2.5 
-0.195652 0.682538 2.5 
-0.185619 0.685027 2.5 
-0.183311 0.687291 2.5 
-0.175585 0.694777 2.5 
-0.172987 0.697324 2.5 
-0.165552 0.704526 2.5 
-0.162663 0.707358 2.5 
-0.155518 0.714275 2.5 
-0.152338 0.717391 2.5 
-0.145485 0.724023 2.5 
-0.142012 0.727425 2.5 
-0.135452 0.733771 2.5 
-0.131686 0.737458 2.5 
-0.125418 0.743519 2.5 
-0.121359 0.747492 2.5 
-0.115385 0.753265 2.5 
-0.111031 0.757525 2.5 
-0.105351 0.763012 2.5 
-0.0953177 0.765497 2.5 
-0.0932191 0.767559 2.5 
-0.0852843 0.775248 2.5 
-0.0828971 0.777592 2.5 
-0.0752508 0.784998 2.5 
-0.0725743 0.787625 2.5 
-0.0652174 0.794748 2.5 
-0.062251 0.797659 2.5 
-0.0551839 0.804497 2.5 
-0.0519269 0.807692 2.5 
-0.0451505 0.814246 2.5 
-0.041602 0.817726 2.5 
-0.0351171 0.823994 2.5 
-0.0312764 0.827759 2.5 
-0.0250836 0.831352 2.5 
-0.0185648 0.837793 2.5 
-0.0150502 0.841216 2.5 
-0.00501672 0.846786 2.5 
0.00501672 0.846786 2.5 
0.0150502 0.841216 2.5 
0.0185648 0.837793 2.5 
0.0250836 0.831352 2.5 
0.0312764 0.827759 2.5 
0.0351171 0.823994 2.5 
0.041602 0.817726 2.5 
0.0451505 0.814246 2.5 
0.0519269 0.807692 2.5 
0.0551839 0.804497 2.5 
0.062251 0.797659 2.5 
0.0652174 0.794748 2.5 
0.0725743 0.787625 2.5 

# Contour 4, label: 
-0.978261 -0.0196679 2.5 
-0.973522 -0.0150502 2.5 
-0.968227 -0.00992063 2.5 
-0.963194 -0.00501672 2.5 
-0.958194 -0.000173627 2.5 
-0.952866 0.00501672 2.5 
-0.948161 0.00957306 2.5 
-0.942537 0.0150502 2.5 
-0.938127 0.0193195 2.5 
-0.932208 0.0250836 2.5 
-0.928094 0.0290657 2.5 
-0.921878 0.0351171 2.5 
-0.91806 0.0388116 2.5 
-0.911548 0.0451505 2.5 
-0.908027 0.0485571 2.5 
