
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
0.950742 -0.264381 2.5 
0.958569 -0.274749 2.5 
0.95903 -0.275278 2.5 
0.967669 -0.285117 2.5 
0.969398 -0.287098 2.5 
0.976772 -0.295485 2.5 
0.979554 -0.305853 2.5 
0.979766 -0.306095 2.5 
0.988664 -0.316221 2.5 
0.990134 -0.317904 2.5 
0.997776 -0.326589 2.5 
1.0005 -0.336827 2.5 
1.00059 -0.336957 2.5 
1.00965 -0.347324 2.5 
1.01087 -0.348714 2.5 
1.01878 -0.357692 2.5 
1.02124 -0.367008 2.5 

# Contour 3, label: 
0.191806 0.842904 2.5 
0.196626 0.834615 2.5 
0.202174 0.824649 2.5 
0.202514 0.824247 2.5 
0.211629 0.81388 2.5 
0.212542 0.812224 2.5 
0.217593 0.803512 2.5 
0.22291 0.797462 2.5 
0.226787 0.793144 2.5 
0.232594 0.782776 2.5 
0.233278 0.781535 2.5 
0.238554 0.772408 2.5 
0.243645 0.766625 2.5 
0.247765 0.76204 2.5 
0.253553 0.751672 2.5 
0.254013 0.750835 2.5 
0.262041 0.741304 2.5 
0.264381 0.738476 2.5 
0.268736 0.730936 2.5 
0.274506 0.720569 2.5 
0.274749 0.720127 2.5 
0.283118 0.710201 2.5 
0.285117 0.707789 2.5 
0.289701 0.699833 2.5 
0.295455 0.689465 2.5 
0.295485 0.68941 2.5 
0.304189 0.679097 2.5 
0.305853 0.677093 2.5 
0.312935 0.668729 2.5 
0.316221 0.65915 2.5 
0.316503 0.658361 2.5 
0.325253 0.647993 2.5 
0.326589 0.646388 2.5 
0.334015 0.637625 2.5 
0.336957 0.628969 2.5 
0.337563 0.627258 2.5 
0.346312 0.61689 2.5 
0.347324 0.615675 2.5 
0.355089 0.606522 2.5 
0.357692 0.603408 2.5 
0.361848 0.596154 2.5 
0.367364 0.585786 2.5 
0.36806 0.584952 2.5 
0.376157 0.575418 2.5 
0.378428 0.572706 2.5 
0.384947 0.56505 2.5 
0.388411 0.554682 2.5 
0.388796 0.554222 2.5 
0.397218 0.544314 2.5 
0.399164 0.541994 2.5 
0.406024 0.533947 2.5 
0.409452 0.523579 2.5 
0.409532 0.523484 2.5 
0.418274 0.513211 2.5 
0.4199 0.511275 2.5 
0.427094 0.502843 2.5 
0.430268 0.493154 2.5 
0.430499 0.492475 2.5 
0.439323 0.482107 2.5 
0.440635 0.480547 2.5 
0.448158 0.471739 2.5 
0.451003 0.462973 2.5 
0.452118 0.461371 2.5 
0.460367 0.451003 2.5 
0.461371 0.449812 2.5 
0.469216 0.440635 2.5 
0.471739 0.437649 2.5 
0.478064 0.430268 2.5 
0.481406 0.4199 2.5 
0.482107 0.419069 2.5 
0.490268 0.409532 2.5 
0.492475 0.406923 2.5 
0.49913 0.399164 2.5 
0.50244 0.388796 2.5 
0.502843 0.388319 2.5 
0.511315 0.378428 2.5 
0.513211 0.37619 2.5 
0.52019 0.36806 2.5 
0.523468 0.357692 2.5 
0.523579 0.357562 2.5 
0.532356 0.347324 2.5 
0.533947 0.34545 2.5 
0.541244 0.336957 2.5 
0.544314 0.327158 2.5 
0.54471 0.326589 2.5 
0.553392 0.316221 2.5 
0.554682 0.314702 2.5 
0.562293 0.305853 2.5 
0.56505 0.296976 2.5 
0.566086 0.295485 2.5 
0.574423 0.285117 2.5 
0.575418 0.283947 2.5 
0.583337 0.274749 2.5 
0.585786 0.266795 2.5 
0.587461 0.264381 2.5 
0.595449 0.254013 2.5 
0.596154 0.253186 2.5 
0.604375 0.243645 2.5 
0.606522 0.24113 2.5 

# Contour 4, label: 
-0.247765 0.76204 2.5 
-0.243645 0.766625 2.5 
-0.238554 0.772408 2.5 
-0.233278 0.781535 2.5 
-0.232594 0.782776 2.5 
-0.226787 0.793144 2.5 
-0.22291 0.797462 2.5 
-0.217593 0.803512 2.5 
-0.212542 0.812224 2.5 
-0.211629 0.81388 2.5 
-0.202514 0.824247 2.5 
-0.202174 0.824649 2.5 
-0.196626 0.834615 2.5 
-0.191806 0.842904 2.5 
-0.190658 0.844983 2.5 
-0.181438 0.855345 2.5 
-0.175652 0.865719 2.5 
-0.17107 0.870841 2.5 
-0.167637 0.876087 2.5 
-0.160702 0.886188 2.5 
-0.160529 0.886455 2.5 
-0.153687 0.896823 2.5 
-0.150334 0.901674 2.5 
-0.146726 0.907191 2.5 
-0.139967 0.917023 2.5 
-0.139619 0.917559 2.5 
-0.132764 0.927926 2.5 
-0.129599 0.932498 2.5 
-0.125811 0.938294 2.5 
-0.119231 0.947849 2.5 
-0.118704 0.948662 2.5 
-0.111835 0.95903 2.5 
-0.108863 0.962251 2.5 
-0.103757 0.969398 2.5 
-0.098495 0.976367 2.5 
-0.0960841 0.979766 2.5 
-0.0883509 0.990134 2.5 
-0.0881271 0.990454 2.5 
-0.0828742 1.0005 2.5 
-0.0777592 1.00727 2.5 
-0.0752082 1.01087 2.5 
-0.0674076 1.02124 2.5 
-0.0612721 1.03161 2.5 
-0.0570234 1.03691 2.5 
-0.0538097 1.04197 2.5 
-0.0466555 1.05219 2.5 
-0.0465639 1.05234 2.5 
-0.0399106 1.06271 2.5 
-0.0362876 1.06705 2.5 
-0.0327507 1.07308 2.5 
-0.0259197 1.08188 2.5 
-0.0250673 1.08344 2.5 
-0.0181841 1.09381 2.5 
-0.0155518 1.09707 2.5 
-0.0118245 1.10418 2.5 
-0.00518395 1.11253 2.5 
0.00518395 1.11253 2.5 
0.0118245 1.10418 2.5 
0.0155518 1.09707 2.5 
0.0181841 1.09381 2.5 
0.0250673 1.08344 2.5 
0.0259197 1.08188 2.5 
0.0327507 1.07308 2.5 
0.0362876 1.06705 2.5 
0.0399106 1.06271 2.5 
0.0465639 1.05234 2.5 
0.0466555 1.05219 2.5 
0.0538097 1.04197 2.5 
0.0570234 1.03691 2.5 
0.0612721 1.03161 2.5 
0.0673913 1.02126 2.5 
0.0752082 1.01087 2.5 
0.0777592 1.00727 2.5 
0.0828742 1.0005 2.5 
0.0881271 0.990454 2.5 
0.0883509 0.990134 2.5 
0.0960841 0.979766 2.5 
0.098495 0.976367 2.5 
0.103757 0.969398 2.5 
0.108863 0.962251 2.5 
0.111835 0.95903 2.5 
