
# Surface 0 of 1 surfaces

# Curve title: "'fM.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        3
-0.412822 0.440635 3 
-0.414909 0.430268 3 
-0.416975 0.4199 3 
-0.41902 0.409532 3 
-0.4199 0.40504 3 
-0.421104 0.399164 3 
-0.423211 0.388796 3 
-0.425298 0.378428 3 
-0.427364 0.36806 3 
-0.429409 0.357692 3 
-0.430268 0.353312 3 
-0.431494 0.347324 3 
-0.4336 0.336957 3 
-0.435687 0.326589 3 
-0.437753 0.316221 3 
-0.439799 0.305853 3 
-0.440635 0.301585 3 
-0.441884 0.295485 3 
-0.44399 0.285117 3 
-0.446075 0.274749 3 
-0.448142 0.264381 3 
-0.450188 0.254013 3 
-0.451003 0.249857 3 
-0.452274 0.243645 3 
-0.454379 0.233278 3 
-0.456464 0.22291 3 
-0.458531 0.212542 3 
-0.460578 0.202174 3 
-0.461371 0.19813 3 
-0.462664 0.191806 3 
-0.464768 0.181438 3 
-0.466853 0.17107 3 
-0.46892 0.160702 3 
-0.470967 0.150334 3 
-0.471739 0.146402 3 
