
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
0.387486 -0.202174 2 
0.388796 -0.211534 2 
0.388944 -0.212542 2 
0.390464 -0.22291 2 
0.391972 -0.233278 2 
0.393468 -0.243645 2 
0.394954 -0.254013 2 
0.396427 -0.264381 2 
0.39789 -0.274749 2 
0.399164 -0.283841 2 

# Contour 3, label: 
0.143823 1.49816 2 
0.145323 1.48779 2 
0.146793 1.47742 2 
0.148233 1.46706 2 
0.149644 1.45669 2 
0.150334 1.45154 2 
0.151131 1.44632 2 
0.15269 1.43595 2 
0.154218 1.42559 2 
0.155717 1.41522 2 
0.157187 1.40485 2 
0.15863 1.39448 2 
0.160045 1.38411 2 
0.160702 1.37923 2 
0.161536 1.37375 2 
0.16309 1.36338 2 
0.164615 1.35301 2 
0.166112 1.34264 2 
0.167583 1.33227 2 
0.169028 1.32191 2 
0.170447 1.31154 2 
0.17107 1.30693 2 
0.171942 1.30117 2 
0.173491 1.2908 2 
0.175013 1.28043 2 
0.176509 1.27007 2 
0.17798 1.2597 2 
0.179427 1.24933 2 
0.180849 1.23896 2 
0.181438 1.23462 2 
0.182347 1.2286 2 
0.183892 1.21823 2 
0.185412 1.20786 2 
0.186907 1.19749 2 
0.188378 1.18712 2 
0.189826 1.17676 2 
0.191252 1.16639 2 
0.191806 1.16231 2 
0.192753 1.15602 2 
0.194294 1.14565 2 
0.195811 1.13528 2 
0.197305 1.12492 2 
0.198777 1.11455 2 
0.200226 1.10418 2 
0.201654 1.09381 2 
0.202174 1.09 2 
0.203158 1.08344 2 
0.204696 1.07308 2 
0.206211 1.06271 2 
0.207705 1.05234 2 
0.209176 1.04197 2 
0.210627 1.03161 2 
0.212058 1.02124 2 
0.212542 1.0177 2 
0.213564 1.01087 2 
0.215099 1.0005 2 
0.216612 0.990134 2 
0.218105 0.979766 2 
0.219577 0.969398 2 
0.221029 0.95903 2 
0.222461 0.948662 2 
0.22291 0.945388 2 
0.22397 0.938294 2 
0.225502 0.927926 2 
0.227013 0.917559 2 
0.228505 0.907191 2 
0.229977 0.896823 2 
0.231431 0.886455 2 
0.232865 0.876087 2 
0.233278 0.87308 2 
0.234375 0.865719 2 
0.235905 0.855351 2 
0.237415 0.844983 2 
0.238906 0.834615 2 
0.240379 0.824247 2 
0.241833 0.81388 2 
0.243269 0.803512 2 
0.243645 0.800772 2 
0.244781 0.793144 2 
0.246308 0.782776 2 
0.247817 0.772408 2 
0.249308 0.76204 2 
0.25078 0.751672 2 
0.252235 0.741304 2 
0.253673 0.730936 2 
0.254013 0.728465 2 
0.255187 0.720569 2 
0.256712 0.710201 2 
0.258219 0.699833 2 
0.259709 0.689465 2 
0.261182 0.679097 2 
0.262638 0.668729 2 
0.264077 0.658361 2 
