
# Surface 0 of 1 surfaces

# Curve title: "filename.'_fS.dat' binary matrix"

# Contour 0, label:    2e+03
-1.49666 0.160076 2000 
-1.48241 0.175585 2000 
-1.47993 0.178235 2000 
-1.46702 0.192308 2000 
-1.46321 0.196393 2000 
-1.45163 0.20903 2000 
-1.44649 0.214549 2000 
-1.43623 0.225753 2000 
-1.42977 0.232702 2000 
-1.42083 0.242475 2000 
-1.41304 0.250854 2000 
-1.40542 0.259197 2000 
-1.39632 0.269004 2000 
-1.39001 0.27592 2000 
-1.3796 0.287152 2000 
-1.3746 0.292642 2000 
-1.36288 0.305297 2000 
-1.35918 0.309365 2000 
-1.34615 0.32344 2000 
-1.34375 0.326087 2000 
-1.32943 0.34158 2000 
-1.32832 0.342809 2000 
-1.31289 0.359532 2000 
-1.31271 0.359722 2000 
-1.29751 0.376254 2000 
-1.29599 0.377884 2000 
-1.28213 0.392977 2000 
-1.27926 0.396045 2000 
-1.26675 0.409699 2000 
-1.26254 0.414204 2000 
-1.25136 0.426421 2000 
-1.24582 0.43236 2000 
-1.23596 0.443144 2000 
-1.2291 0.450514 2000 
-1.22056 0.459866 2000 
-1.21237 0.468665 2000 
-1.20516 0.476589 2000 
-1.19565 0.486814 2000 
-1.18974 0.493311 2000 
-1.17893 0.504961 2000 
-1.17432 0.510033 2000 
-1.16221 0.523104 2000 
-1.1589 0.526756 2000 
-1.14548 0.541245 2000 
-1.14346 0.543478 2000 
-1.12876 0.559382 2000 
-1.12802 0.560201 2000 
-1.11261 0.576923 2000 
-1.11204 0.577531 2000 
-1.09724 0.593646 2000 
-1.09532 0.595695 2000 
-1.08187 0.610368 2000 
-1.0786 0.613858 2000 
-1.06649 0.62709 2000 
-1.06187 0.632018 2000 
-1.0511 0.643813 2000 
-1.04515 0.650175 2000 
-1.03571 0.660535 2000 
-1.02843 0.668329 2000 
-1.02031 0.677258 2000 
-1.01171 0.686481 2000 
-1.0049 0.69398 2000 
-0.994983 0.704629 2000 
-0.989483 0.710702 2000 
-0.978261 0.722773 2000 
-0.974059 0.727425 2000 
-0.961538 0.740914 2000 
-0.958625 0.744147 2000 
-0.944816 0.759051 2000 
-0.943181 0.76087 2000 
-0.928094 0.777183 2000 
-0.927727 0.777592 2000 
-0.912343 0.794314 2000 
-0.911371 0.795342 2000 
-0.894649 0.797598 2000 
-0.884828 0.794314 2000 
-0.877926 0.791965 2000 
-0.861204 0.786403 2000 
-0.844482 0.78075 2000 
-0.835031 0.777592 2000 
-0.827759 0.775124 2000 
-0.811037 0.769554 2000 
-0.794314 0.763905 2000 
-0.785228 0.76087 2000 
-0.777592 0.758284 2000 
-0.76087 0.752708 2000 
-0.744147 0.747062 2000 
-0.735419 0.744147 2000 
-0.727425 0.741445 2000 
-0.710702 0.735864 2000 
-0.69398 0.73022 2000 
-0.685607 0.727425 2000 
-0.677258 0.724606 2000 
-0.660535 0.719022 2000 
-0.643813 0.713379 2000 
-0.635793 0.710702 2000 
-0.62709 0.707768 2000 
-0.610368 0.70218 2000 
-0.593646 0.696539 2000 

