# Data file generated by gp_save_table.m
# pairwise differences of ratings vs WFS
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.755144	-0.789095	-0.631173	-0.786008	-0.633745	0.000002	0.000001	1.000000	0.969388	-0.835391	-0.783951	-0.672840	-0.769547	-0.578189	-0.814815	-0.639918	-0.646091	-0.798354	0.000000	-0.781893	-0.633745	-0.654321	-0.623457	-0.823045	-0.786008	-0.800412	-0.584362	-0.783951	-0.755144	-0.611111	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.230453	0.184671	0.368827	0.185185	0.366255	0.000001	1.000000	0.000000	0.995465	0.164609	0.213992	0.327160	0.230453	0.421811	0.185185	0.351852	0.351852	0.201646	1.000000	0.218107	0.366255	0.148148	0.376543	0.176955	0.133745	0.183128	0.384774	0.216049	0.244856	0.388889	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.027142	0.513571	0.513571	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_M27_rect_corrected.wav	-0.343621	-0.488169	-0.175926	-0.481481	-0.176955	0.000005	0.000002	0.999999	0.927438	-0.290123	-0.481481	-0.401235	-0.652263	-0.172840	-0.508230	-0.355967	-0.296296	-0.567901	0.014403	-0.193416	-0.403292	-0.113169	-0.343621	-0.543210	-0.660494	-0.263374	0.084362	-0.176955	-0.448560	-0.172840	
"LWFS-VSS 1024 30"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.60_wfs_corrected.wav	-0.345679	-0.427469	-0.222737	-0.425926	-0.228395	0.000005	0.000002	0.999999	0.919501	-0.668724	-0.386831	-0.432099	-0.590535	-0.390947	-0.345679	-0.409465	-0.244856	-0.265432	0.004115	-0.312757	-0.471193	-0.205761	-0.228395	-0.397119	-0.127572	-0.425926	-0.164609	-0.512346	-0.234568	0.030864	
"LWFS-VSS 1024 45"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.90_wfs_corrected.wav	-0.193416	-0.265947	-0.157922	-0.263374	-0.158436	0.000013	0.000007	0.999997	0.863946	-0.189300	-0.263374	-0.193416	-0.487654	-0.199588	-0.232510	-0.172840	-0.526749	-0.084362	0.000000	0.037037	-0.304527	-0.158436	-0.193416	-0.259259	-0.460905	-0.248971	-0.160494	-0.273663	-0.156379	0.026749	
"LWFS-SBL 1024 27M"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_max-rE_npw1024_corrected.wav	-0.672840	-0.748971	-0.583333	-0.746914	-0.584362	0.000002	0.000001	1.000000	0.955782	-0.534979	-0.683128	-0.672840	-0.769547	-0.563786	-0.775720	-0.592593	-0.580247	-0.705761	0.006173	-0.711934	-0.588477	-0.611111	-0.584362	-0.792181	-0.864198	-0.746914	-0.481481	-0.691358	-0.755144	-0.609053	
"LWFS-SBL 1024 19R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_rect_npw1024_corrected.wav	-0.604938	-0.620370	-0.520062	-0.617284	-0.522634	0.000002	0.000001	1.000000	0.945578	-0.611111	-0.584362	-0.545267	-0.720165	-0.549383	-0.434156	-0.615226	-0.613169	-0.646091	0.000000	-0.629630	-0.522634	-0.617284	-0.481481	-0.617284	-0.242798	-0.670782	-0.604938	-0.635802	-0.512346	-0.598765	
