# Data file generated by gp_save_table.m
# pairwise differences of ratings vs NFC-HOA 27R
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	"VDA"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	-0.010802	0.000514	-0.010288	0.000000	0.373725	0.186862	0.822292	0.549887	-0.010288	-0.004115	0.000000	0.002058	-0.006173	0.000000	0.547325	-0.016461	0.000000	0.006173	-0.082305	0.034979	-0.012346	-0.026749	0.032922	-0.043210	0.000000	-0.006173	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.993827	0.977881	1.000000	0.979424	1.000000	0.000001	1.000000	0.000000	1.000000	0.989712	0.913580	1.000000	1.000000	0.993827	0.995885	0.993827	0.983539	1.000000	1.000000	0.917695	1.000000	0.853909	0.973251	0.979424	0.905350	1.000000	0.989712	1.000000	1.000000	1.000000	
"WFS"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_wfs_corrected.wav	0.724280	0.576132	0.835905	0.613169	0.833333	0.000001	1.000000	0.000000	0.988662	0.713992	0.465021	0.738683	0.833333	0.265432	0.971193	0.292181	0.724280	0.843621	0.018519	0.773663	0.331276	0.613169	0.773663	0.631687	0.845679	0.711934	0.989712	0.722222	1.000000	0.765432	
"NFC-HOA 27R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_nfchoa_M27_rect_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.027142	0.513571	0.513571	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"LWFS-VSS 1024 30"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.60_wfs_corrected.wav	0.187243	0.044239	0.348765	0.045267	0.331276	0.000024	0.999993	0.000012	0.904762	0.045267	-0.057613	0.187243	0.199588	0.014403	0.432099	0.063786	0.195473	0.537037	0.000000	0.604938	0.041152	0.090535	0.401235	0.281893	0.627572	0.331276	0.012346	0.055556	0.234568	0.076132	
"LWFS-VSS 1024 45"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-vss_circular_nvs1024_dvs0.90_wfs_corrected.wav	0.026749	0.003601	0.103395	0.004115	0.102881	0.000607	0.999787	0.000304	0.763039	0.026749	0.271605	0.104938	0.016461	0.006173	0.323045	0.022634	-0.008230	0.034979	0.002058	0.109053	0.063786	0.004115	0.102881	0.032922	-0.094650	0.144033	0.012346	0.086420	0.000000	0.000000	
"LWFS-SBL 1024 27M"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M27_max-rE_npw1024_corrected.wav	0.141975	0.069959	0.283436	0.080247	0.277778	0.000002	1.000000	0.000001	0.913832	0.150206	0.098765	0.141975	0.080247	0.039095	0.183128	0.034979	0.084362	0.199588	0.000000	0.312757	0.094650	0.026749	0.146091	0.106996	0.734568	0.300412	0.722222	0.277778	0.483539	0.004115	
"LWFS-SBL 1024 19R"	brs/brs_posx0.00_posy0.00_circular_nls0056_dls3.00_lwfs-sbl_M19_rect_npw1024_corrected.wav	0.014403	0.000000	0.033436	0.000000	0.032922	0.015780	0.993654	0.007890	0.666667	0.034979	-0.032922	0.000000	0.000000	0.000000	0.047325	0.000000	0.032922	0.026749	0.000000	-0.059671	0.014403	0.026749	0.028807	0.076132	0.141975	0.000000	0.018519	0.146091	0.000000	0.004115	
