
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_Rc%2.2f.dat', Rc) u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
-0.76633 -0.627258 2.5 
-0.772046 -0.637625 2.5 
-0.772408 -0.638285 2.5 
-0.777793 -0.647993 2.5 
-0.782776 -0.65704 2.5 
-0.783512 -0.658361 2.5 
-0.789256 -0.668729 2.5 
-0.793144 -0.675796 2.5 
-0.79498 -0.679097 2.5 
-0.800716 -0.689465 2.5 
-0.803512 -0.69455 2.5 
-0.806448 -0.699833 2.5 
-0.812175 -0.710201 2.5 
-0.81388 -0.713305 2.5 
-0.817913 -0.720569 2.5 
-0.823632 -0.730936 2.5 
-0.824247 -0.732058 2.5 
-0.829377 -0.741304 2.5 
-0.834615 -0.750812 2.5 
-0.835094 -0.751672 2.5 
-0.84084 -0.76204 2.5 
-0.844983 -0.769568 2.5 
-0.846563 -0.772408 2.5 
-0.8523 -0.782776 2.5 
-0.855351 -0.788323 2.5 

# Contour 3, label: 
-0.129599 0.524492 2.5 
-0.130112 0.523579 2.5 
-0.135875 0.513211 2.5 
-0.139967 0.505734 2.5 
-0.141589 0.502843 2.5 
-0.147333 0.492475 2.5 
-0.150334 0.486979 2.5 
-0.153062 0.482107 2.5 
-0.158786 0.471739 2.5 
-0.160702 0.468225 2.5 
-0.16453 0.461371 2.5 
-0.170237 0.451003 2.5 
-0.17107 0.449473 2.5 
-0.175995 0.440635 2.5 
-0.181438 0.43072 2.5 
-0.181692 0.430268 2.5 
-0.187457 0.4199 2.5 
-0.191806 0.411963 2.5 
-0.193169 0.409532 2.5 
-0.198915 0.399164 2.5 
-0.202174 0.393207 2.5 
-0.204641 0.388796 2.5 
-0.210371 0.378428 2.5 
-0.212542 0.374453 2.5 
-0.216111 0.36806 2.5 
-0.221823 0.357692 2.5 
-0.22291 0.3557 2.5 
-0.227576 0.347324 2.5 
-0.233273 0.336957 2.5 
-0.239039 0.326589 2.5 
-0.243645 0.318191 2.5 
-0.244749 0.316221 2.5 
-0.250498 0.305853 2.5 
-0.254013 0.299435 2.5 
-0.256222 0.295485 2.5 
-0.261955 0.285117 2.5 
-0.264381 0.280681 2.5 
-0.267691 0.274749 2.5 
-0.273409 0.264381 2.5 
-0.274749 0.261927 2.5 
-0.279157 0.254013 2.5 
-0.284861 0.243645 2.5 
-0.285117 0.243176 2.5 
-0.290621 0.233278 2.5 
-0.295485 0.22442 2.5 
-0.29633 0.22291 2.5 
-0.302081 0.212542 2.5 
-0.305853 0.205663 2.5 
-0.307803 0.202174 2.5 
-0.313539 0.191806 2.5 
-0.316221 0.186908 2.5 
-0.319272 0.181438 2.5 
