
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
-0.265886 -0.22291 2 
-0.266886 -0.233278 2 
-0.26789 -0.243645 2 
-0.268899 -0.254013 2 
-0.269911 -0.264381 2 
-0.270927 -0.274749 2 
-0.271947 -0.285117 2 
-0.272971 -0.295485 2 
-0.273999 -0.305853 2 
-0.274749 -0.313402 2 
-0.27502 -0.316221 2 
-0.276016 -0.326589 2 
-0.277015 -0.336957 2 
-0.278019 -0.347324 2 

# Contour 3, label: 
-0.0978028 1.49816 2 
-0.098495 1.49139 2 
-0.0988309 1.48779 2 
-0.0997973 1.47742 2 
-0.100775 1.46706 2 
-0.101765 1.45669 2 
-0.102765 1.44632 2 
-0.103776 1.43595 2 
-0.104797 1.42559 2 
-0.105829 1.41522 2 
-0.10687 1.40485 2 
-0.107921 1.39448 2 
-0.108863 1.38525 2 
-0.108969 1.38411 2 
-0.109938 1.37375 2 
-0.110916 1.36338 2 
-0.111905 1.35301 2 
-0.112904 1.34264 2 
-0.113913 1.33227 2 
-0.114931 1.32191 2 
-0.115959 1.31154 2 
-0.116995 1.30117 2 
-0.11804 1.2908 2 
-0.119094 1.28043 2 
-0.119231 1.27908 2 
-0.120076 1.27007 2 
-0.121055 1.2597 2 
-0.122044 1.24933 2 
-0.123042 1.23896 2 
-0.124048 1.2286 2 
-0.125064 1.21823 2 
-0.126088 1.20786 2 
-0.127121 1.19749 2 
-0.128161 1.18712 2 
-0.12921 1.17676 2 
-0.129599 1.1729 2 
-0.130212 1.16639 2 
-0.131192 1.15602 2 
-0.132181 1.14565 2 
-0.133178 1.13528 2 
-0.134183 1.12492 2 
-0.135196 1.11455 2 
-0.136217 1.10418 2 
-0.137246 1.09381 2 
-0.138283 1.08344 2 
-0.139327 1.07308 2 
-0.139967 1.06674 2 
-0.140348 1.06271 2 
-0.141328 1.05234 2 
-0.142316 1.04197 2 
-0.143312 1.03161 2 
-0.144316 1.02124 2 
-0.145328 1.01087 2 
-0.146347 1.0005 2 
-0.147373 0.990134 2 
-0.148406 0.979766 2 
-0.149446 0.969398 2 
-0.150334 0.960584 2 
-0.150482 0.95903 2 
-0.151463 0.948662 2 
-0.152451 0.938294 2 
-0.153446 0.927926 2 
-0.154449 0.917559 2 
-0.155459 0.907191 2 
-0.156476 0.896823 2 
-0.157499 0.886455 2 
-0.158529 0.876087 2 
-0.159566 0.865719 2 
-0.16061 0.855351 2 
-0.160702 0.854424 2 
-0.161597 0.844983 2 
-0.162585 0.834615 2 
-0.16358 0.824247 2 
-0.164581 0.81388 2 
-0.16559 0.803512 2 
-0.166605 0.793144 2 
-0.167626 0.782776 2 
-0.168653 0.772408 2 
-0.169687 0.76204 2 
-0.170727 0.751672 2 
-0.17107 0.748246 2 
-0.17173 0.741304 2 
-0.172718 0.730936 2 
-0.173712 0.720569 2 
-0.174713 0.710201 2 
-0.17572 0.699833 2 
-0.176733 0.689465 2 
-0.177753 0.679097 2 
-0.178778 0.668729 2 
-0.179809 0.658361 2 
-0.180846 0.647993 2 
-0.181438 0.642079 2 
-0.181863 0.637625 2 
-0.18285 0.627258 2 
-0.183844 0.61689 2 
-0.184844 0.606522 2 
-0.18585 0.596154 2 
-0.186862 0.585786 2 
-0.18788 0.575418 2 

# Contour 4, label: 
-1.17225 0.129599 2 
-1.17676 0.120392 2 
-1.17734 0.119231 2 
-1.18251 0.108863 2 
-1.18712 0.0994253 2 
-1.18759 0.098495 2 
-1.19276 0.0881271 2 
-1.19749 0.0784583 2 
-1.19784 0.0777592 2 
-1.20302 0.0673913 2 
-1.20786 0.0574913 2 
-1.20809 0.0570234 2 
-1.21327 0.0466555 2 
-1.21823 0.0365242 2 
-1.21835 0.0362876 2 
-1.22352 0.0259197 2 
-1.2286 0.0155571 2 
-1.23378 0.00518395 2 
-1.23885 -0.00518395 2 
-1.23896 -0.00540737 2 
-1.24403 -0.0155518 2 
-1.24911 -0.0259197 2 
-1.24933 -0.0263719 2 
-1.25428 -0.0362876 2 
-1.25937 -0.0466555 2 
-1.2597 -0.0473366 2 
-1.26454 -0.0570234 2 
-1.26962 -0.0673913 2 
-1.27007 -0.0683012 2 
-1.27479 -0.0777592 2 
-1.27988 -0.0881271 2 
-1.28043 -0.089266 2 
-1.28505 -0.098495 2 
-1.29014 -0.108863 2 
-1.2908 -0.110231 2 
-1.2953 -0.119231 2 
-1.30039 -0.129599 2 
-1.30117 -0.131196 2 
-1.30555 -0.139967 2 
-1.31065 -0.150334 2 
-1.31154 -0.152161 2 
-1.31581 -0.160702 2 
-1.3209 -0.17107 2 
-1.32191 -0.173126 2 
-1.32606 -0.181438 2 
