
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d_max-rE.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
0.152212 0.575418 2 
0.16034 0.56505 2 
0.160702 0.564583 2 
0.168508 0.554682 2 
0.17107 0.551385 2 
0.176663 0.544314 2 
0.181438 0.538188 2 
0.184804 0.533947 2 
0.191806 0.524993 2 
0.192932 0.523579 2 
0.201077 0.513211 2 
0.202174 0.511797 2 
0.20924 0.502843 2 
0.212542 0.498599 2 
0.217389 0.492475 2 
0.22291 0.485403 2 
0.225526 0.482107 2 
0.233278 0.472209 2 
0.233651 0.471739 2 
0.241812 0.461371 2 
0.243645 0.459011 2 
0.249969 0.451003 2 
0.254013 0.445814 2 
0.258115 0.440635 2 
0.264381 0.432619 2 
0.266249 0.430268 2 
0.27438 0.4199 2 
0.274749 0.419424 2 
0.282545 0.409532 2 
0.285117 0.406226 2 
0.290698 0.399164 2 
0.295485 0.393029 2 
0.298839 0.388796 2 
0.305853 0.379834 2 
0.30697 0.378428 2 
0.315116 0.36806 2 
0.316221 0.366638 2 
0.323276 0.357692 2 
0.326589 0.353441 2 
0.331425 0.347324 2 
0.336957 0.340245 2 
0.339563 0.336957 2 
0.347324 0.32705 2 
0.347691 0.326589 2 
0.35585 0.316221 2 
0.357692 0.313853 2 
0.364006 0.305853 2 
0.36806 0.300656 2 
0.372151 0.295485 2 
0.378428 0.28746 2 
0.380286 0.285117 2 
0.38842 0.274749 2 
0.388796 0.274265 2 
0.396582 0.264381 2 
0.399164 0.261067 2 
0.404734 0.254013 2 
0.409532 0.247871 2 
0.412876 0.243645 2 
0.4199 0.234675 2 
0.421009 0.233278 2 
0.429155 0.22291 2 
0.430268 0.221479 2 
0.437313 0.212542 2 
0.440635 0.208282 2 
0.445462 0.202174 2 
0.451003 0.195086 2 
0.453601 0.191806 2 
0.461371 0.181891 2 
0.461731 0.181438 2 
0.469888 0.17107 2 
0.471739 0.168694 2 
0.478043 0.160702 2 
0.482107 0.155497 2 
0.486188 0.150334 2 
0.492475 0.142301 2 
0.494324 0.139967 2 
0.502459 0.129599 2 
0.502843 0.129106 2 
0.51062 0.119231 2 
0.513211 0.115908 2 
0.518771 0.108863 2 
0.523579 0.102712 2 
0.526914 0.098495 2 
0.533947 0.0895166 2 
0.535048 0.0881271 2 
0.543194 0.0777592 2 
0.544314 0.0763204 2 
0.551351 0.0673913 2 
0.554682 0.0631233 2 

# Contour 4, label: 
-0.368083 1.16636 2 
-0.36806 1.1663 2 
-0.35778 1.15602 2 
-0.357692 1.15504 2 
-0.347746 1.14565 2 
-0.347324 1.14438 2 
-0.338243 1.13528 2 
-0.336957 1.13135 2 
-0.330542 1.12492 2 
-0.326589 1.12073 2 
-0.320429 1.11455 2 
-0.316221 1.1101 2 
-0.310317 1.10418 2 
-0.305853 1.09948 2 
-0.300205 1.09381 2 
-0.295485 1.08885 2 
-0.290092 1.08344 2 
-0.285117 1.07823 2 
-0.27998 1.07308 2 
-0.274749 1.06761 2 
-0.269867 1.06271 2 
-0.269092 1.05234 2 
-0.264381 1.04741 2 
-0.258971 1.04197 2 
-0.254013 1.03679 2 
-0.24885 1.03161 2 
-0.243645 1.02618 2 
-0.238729 1.02124 2 
-0.233278 1.01556 2 
-0.228607 1.01087 2 
-0.22291 1.00495 2 
-0.218486 1.0005 2 
-0.212542 0.994331 2 
-0.208364 0.990134 2 
-0.202174 0.983716 2 
-0.198241 0.979766 2 
-0.191806 0.973102 2 
-0.188118 0.969398 2 
-0.181438 0.962489 2 
-0.177994 0.95903 2 
-0.17107 0.951876 2 
-0.167869 0.948662 2 
-0.160702 0.941264 2 
-0.157744 0.938294 2 
-0.150334 0.930653 2 
-0.147618 0.927926 2 
-0.146808 0.917559 2 
-0.139967 0.910497 2 
-0.136678 0.907191 2 
-0.129599 0.89989 2 
-0.126548 0.896823 2 
-0.119231 0.889284 2 
-0.116416 0.886455 2 
-0.108863 0.878679 2 
-0.106284 0.876087 2 
-0.098495 0.868074 2 
-0.0961513 0.865719 2 
-0.0881271 0.857471 2 
-0.0860178 0.855351 2 
-0.0777592 0.846868 2 
-0.0758834 0.844983 2 
-0.0673913 0.836266 2 
-0.0657482 0.834615 2 
-0.0570234 0.825665 2 
-0.0556122 0.824247 2 
-0.0466555 0.815065 2 
-0.0454753 0.81388 2 
-0.0362876 0.804466 2 
-0.0353375 0.803512 2 
-0.0259197 0.793868 2 
-0.0251988 0.793144 2 
-0.0155518 0.783271 2 
-0.0150592 0.782776 2 
-0.0142434 0.772408 2 
-0.00518395 0.763128 2 
-0.00410167 0.76204 2 
0.00518395 0.752534 2 
0.00604087 0.751672 2 
0.0155518 0.74194 2 
0.0161843 0.741304 2 
0.0259197 0.731347 2 
0.0263285 0.730936 2 
0.0362876 0.720755 2 
0.0364736 0.720569 2 
0.0463012 0.710201 2 
0.0466555 0.709742 2 
0.0544737 0.699833 2 
0.0570234 0.696543 2 
0.0626297 0.689465 2 
0.0673913 0.683347 2 
0.0707697 0.679097 2 
0.0777592 0.670152 2 
0.0788943 0.668729 2 
0.0870396 0.658361 2 
0.0881271 0.656956 2 
0.0952052 0.647993 2 
0.098495 0.643758 2 
0.103356 0.637625 2 
0.108863 0.630562 2 

# Contour 5, label: 
-0.685635 1.2286 2 
-0.679097 1.23502 2 
-0.668729 1.23514 2 
-0.658361 1.23518 2 
-0.647993 1.23522 2 
-0.637625 1.23527 2 
-0.627258 1.23531 2 
-0.61689 1.23536 2 
-0.606522 1.23541 2 
-0.596154 1.23546 2 
-0.585786 1.23565 2 
-0.575418 1.2357 2 
-0.56505 1.23576 2 
-0.554682 1.23582 2 
-0.544314 1.23588 2 
-0.533947 1.23595 2 
-0.526349 1.2286 2 
-0.523579 1.22597 2 
-0.513211 1.22584 2 
-0.502843 1.22592 2 
-0.492475 1.226 2 
-0.484498 1.21823 2 
-0.482107 1.216 2 
-0.471739 1.21608 2 
-0.461371 1.21616 2 
-0.451003 1.21625 2 
-0.442586 1.20786 2 
-0.440635 1.20709 2 
-0.430268 1.2072 2 
-0.420462 1.19749 2 
-0.4199 1.19707 2 
-0.409532 1.19716 2 
-0.399493 1.18712 2 
-0.399164 1.18692 2 
-0.388796 1.18701 2 
-0.378537 1.17676 2 
-0.378508 1.17668 2 

# Contour 6, label: 
-0.77828 1.49816 2 
-0.778382 1.48779 2 
-0.782776 1.4834 2 
-0.788763 1.47742 2 
-0.788782 1.46706 2 
-0.793144 1.46269 2 
-0.799157 1.45669 2 
-0.79917 1.44632 2 
-0.803512 1.44198 2 
-0.809538 1.43595 2 
-0.81388 1.43161 2 
-0.819904 1.42559 2 
-0.819908 1.41522 2 
-0.824247 1.41087 2 
-0.830269 1.40485 2 
-0.830268 1.39448 2 
-0.834615 1.39013 2 
-0.840624 1.38411 2 
-0.844983 1.37975 2 
-0.850978 1.37375 2 
-0.850971 1.36338 2 
-0.855351 1.35899 2 
-0.861322 1.35301 2 
-0.865719 1.34861 2 
-0.871671 1.34264 2 
-0.870382 1.33227 2 
-0.876087 1.32656 2 
-0.880734 1.32191 2 
-0.880727 1.31154 2 
-0.886455 1.30581 2 
-0.891078 1.30117 2 
-0.896823 1.29542 2 
-0.901426 1.2908 2 
-0.901417 1.28043 2 
-0.907191 1.27465 2 
-0.911764 1.27007 2 
-0.911752 1.2597 2 
-0.917559 1.25389 2 
-0.922098 1.24933 2 
-0.927926 1.2435 2 
-0.932442 1.23896 2 
-0.932431 1.2286 2 
-0.938294 1.22272 2 
-0.942774 1.21823 2 
-0.942763 1.20786 2 
-0.948662 1.20195 2 
-0.953106 1.19749 2 
-0.95903 1.19156 2 
-0.963446 1.18712 2 
-0.96344 1.17676 2 
-0.969398 1.17079 2 
-0.97378 1.16639 2 
-0.979766 1.16038 2 
-0.984113 1.15602 2 
-0.984121 1.14565 2 
-0.990134 1.13963 2 
-0.994458 1.13528 2 
-0.994453 1.12492 2 
-0.990134 1.12064 2 
-0.979766 1.12071 2 
-0.975543 1.12492 2 
-0.969398 1.13103 2 
-0.95903 1.13108 2 
-0.954805 1.13528 2 
-0.948662 1.1414 2 
-0.938294 1.14144 2 
-0.934067 1.14565 2 
-0.927926 1.15177 2 
-0.917559 1.15181 2 
-0.913329 1.15602 2 
-0.907191 1.16214 2 
-0.896823 1.16218 2 
-0.892591 1.16639 2 
-0.886455 1.17251 2 
-0.876087 1.17254 2 
-0.871853 1.17676 2 
-0.865719 1.18288 2 
-0.855351 1.18291 2 
-0.851116 1.18712 2 
-0.844983 1.19325 2 
-0.834615 1.19328 2 
-0.824247 1.19338 2 
-0.820111 1.19749 2 
-0.81388 1.20364 2 
-0.803512 1.20373 2 
-0.793144 1.20376 2 
-0.789024 1.20786 2 
-0.782776 1.21409 2 
-0.772408 1.21412 2 
-0.76204 1.21415 2 
-0.751672 1.21419 2 
-0.747606 1.21823 2 
-0.741304 1.22451 2 
-0.730936 1.22454 2 
-0.720569 1.22458 2 
-0.710201 1.22472 2 
-0.699833 1.22475 2 
-0.689465 1.22479 2 
-0.685635 1.2286 2 

