# subject, condition, condition-id, source marked, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
2,0,3,1,-0.08643771559000016,0.0028022289276123046,-0.006180286407470703,-0.0527733211783144,0.16254075874801863,0.5742953613186534,5.3282120649568014e-06,2.9168709368681772e-05,5.159986181609644e-06,8.813262662832811e-05,4.199837402595866e-05,0.0002529342021972845
2,1,6,1,-0.06708466112613679,-0.007786658406257629,-0.006809234619140625,-0.054431175529730993,0.12659300705685395,0.3425349458660169,2.1397402515280217e-05,3.9624842050548e-05,3.670020176929339e-06,0.00015927819023840823,0.00011067080852880754,0.00010724176326694235
2,2,6,1,-0.06495853364467621,-0.008000272512435912,-0.006930804252624512,-0.047861860954648186,0.11525058144187175,0.30495415342814136,2.671354503433108e-05,0.00011505815392360605,2.757731134354382e-06,7.481469219789711e-05,7.783338315295592e-05,0.00022668400644748767
2,3,8,1,-0.056863647699356076,-0.018752655386924742,-0.008165967464447022,-0.05103467688250327,0.10004600557122272,0.16558537415395372,0.00011212640748756113,4.2350606036709246e-05,5.825530021965964e-06,0.00013149299869131206,0.0003358002641394373,0.00026053571302455894
2,4,19,1,-0.06653860211372375,-0.08453169465065002,-0.011564600467681884,-0.027457931081398344,0.09080343059604326,-0.7412781354848839,3.876096511567355e-05,0.00012502206522045135,3.807737476064957e-05,0.0006939284138977829,0.0011569265446341986,8.512772122769565e-05
2,5,18,1,-0.06888815611600876,-0.08022795915603638,-0.012119936943054199,-0.02559666585460842,0.09380294254213953,-0.7810005035884774,9.009819267064822e-05,2.529744712406419e-05,7.551176360092902e-05,0.0008968186974221497,0.0012248045982176812,0.00028342049710790664
2,6,8,1,-0.059055779874324796,-0.01821175217628479,-0.011027753353118896,-0.06690578868175334,0.11316250907213612,0.1368401507514683,9.409216722584589e-05,4.4142046604805476e-05,6.195923323319852e-05,0.000587842915805575,0.00130024056185764,0.0004002615019680387
2,7,8,1,-0.06008098870515823,-0.019440200924873353,-0.011118543148040772,-0.06788339865135397,0.12057298294726396,0.10234524476681865,0.0001351575701414838,6.0839965545722685e-05,8.060849742050612e-05,0.0001818754713049816,0.00277681763860848,0.00023572306807737348
2,8,8,1,-0.05987884402275086,-0.022333449125289916,-0.011694860458374024,-0.07255295110463236,0.11525574687398772,0.10181997744158752,7.200988692380867e-05,6.62107013647319e-05,7.12612194227154e-05,0.0006432398244546002,0.0013634094984263721,0.00019336583395655619
2,9,10,1,-0.06700043082237243,-0.03641448616981506,-0.013431727886199951,-0.08027808615319658,0.1343809619997971,-0.06737936981904039,9.80292943378542e-05,6.97811806642854e-05,6.381577910818144e-05,0.00019841785231739336,0.0022247700839113653,0.0005353065196274785
2,10,3,1,-0.07697068005800248,0.006869591772556305,-0.010231208801269532,-0.06514204053555693,0.1456469976127996,0.5634394286043017,5.4059470635109164e-05,3.5545538159733633e-05,1.5774790115280387e-05,5.799863402822688e-05,0.0001299949402918362,0.00041665824633912925
2,11,9,1,-0.0679117739200592,-0.022085964679718018,-0.012616729736328125,-0.06439734418354438,0.13010572600793707,0.0458038246173768,5.073778648119599e-06,3.909423395009205e-05,7.613508255010982e-06,6.087433700994553e-05,0.0001282985179809253,0.00019359326151876112
2,12,19,1,-0.08401302397251129,-0.07512247860431671,-0.01522367000579834,-0.06528822147086426,0.13036743568679168,-0.7651936015630388,0.00014337095898768194,0.00013683796441593023,2.100041407912769e-05,0.0006061730213399754,0.0006102784359849595,8.938093304311395e-05
2,13,1,1,-0.0906638577580452,0.014231182634830475,-0.011441993713378906,-0.07047581380843573,0.16503687708752787,0.6324409577032631,8.210251180489547e-05,5.3983124309879727e-05,9.703255395190212e-06,6.4130944975387e-05,0.0004113075227573124,0.0003770780103999655
2,14,12,1,-0.0715637445449829,-0.02926645874977112,-0.012481427192687989,-0.061280421336965464,0.16063839053212794,-0.24609799707025,0.00014054778922250783,2.214763032058364e-05,2.0331933279674895e-05,0.00013042021812566173,0.0004722773515247831,0.0002189565568648473
2,15,1,1,-0.08756878226995468,0.022124315798282623,-0.007803082466125488,-0.06258975071756936,0.1454803241188231,0.7154957245811845,8.043876986261882e-05,5.755229792315847e-05,5.516441270160825e-06,0.0002605136375016512,9.625842985236612e-05,0.0001652127011382772
2,16,18,1,-0.06281706690788269,-0.06393508613109589,-0.013176953792572022,-0.03187248973493167,0.12476081339737957,-0.7228287602163005,0.00012404908016734741,3.456476189941415e-05,8.006933999397615e-06,0.0004167635406241902,0.00029801284937473955,0.00017892163135190326
